Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Josh Anderson,Canadiens,2024-10-09,Home,11:27,0,0,0,1,0,2,0,0,1/1
Joel Armia,Canadiens,2024-10-09,Home,16:21,0,0,0,3,0,0,0,1,0/0
Alex Barr̩-Boulet,Canadiens,2024-10-09,Home,10:21,0,0,0,0,0,2,1,0,0/0
Cole Caufield,Canadiens,2024-10-09,Home,17:43,1,0,0,4,0,0,0,2,0/0
Kirby Dach,Canadiens,2024-10-09,Home,15:59,0,1,0,1,1,0,1,0,0/4
Christian Dvorak,Canadiens,2024-10-09,Home,12:21,0,0,0,1,3,0,0,0,0/2
Jake Evans,Canadiens,2024-10-09,Home,17:04,0,0,0,1,0,0,0,0,5/12
Brendan Gallagher,Canadiens,2024-10-09,Home,14:43,0,0,0,4,2,0,0,1,0/0
Emil Heineman,Canadiens,2024-10-09,Home,09:40,0,0,0,2,0,2,1,1,0/0
Alex Newhook,Canadiens,2024-10-09,Home,13:13,0,0,0,3,2,0,0,1,1/3
Juraj Slafkovsky,Canadiens,2024-10-09,Home,18:01,0,1,0,1,2,0,0,2,0/1
Nick Suzuki,Canadiens,2024-10-09,Home,20:40,0,0,0,3,1,0,0,2,5/13
Justin Barron,Canadiens,2024-10-09,Home,11:50,0,0,0,1,2,2,0,0,0/0
Kaiden Guhle,Canadiens,2024-10-09,Home,23:45,0,0,0,1,3,0,0,1,0/0
Lane Hutson,Canadiens,2024-10-09,Home,18:22,0,0,0,0,2,0,1,1,0/0
Mike Matheson,Canadiens,2024-10-09,Home,26:35,0,0,0,0,4,0,1,1,0/0
David Savard,Canadiens,2024-10-09,Home,20:05,0,0,0,0,4,0,0,0,0/0
Arber Xhekaj,Canadiens,2024-10-09,Home,13:50,0,0,0,1,0,0,0,1,0/0
Josh Anderson,Canadiens,2024-10-10,Away,15:18,1,0,1,2,0,0,0,0,0/0
Joel Armia,Canadiens,2024-10-10,Away,14:41,0,2,-2,2,0,2,0,0,0/0
Alex Barr̩-Boulet,Canadiens,2024-10-10,Away,09:58,0,0,-2,0,0,0,0,0,0/0
Cole Caufield,Canadiens,2024-10-10,Away,20:02,1,0,0,3,0,2,0,1,0/0
Kirby Dach,Canadiens,2024-10-10,Away,17:23,0,0,-2,2,1,0,0,1,1/3
Christian Dvorak,Canadiens,2024-10-10,Away,13:09,0,0,0,2,2,0,1,1,6/13
Jake Evans,Canadiens,2024-10-10,Away,12:44,0,1,1,0,1,0,0,0,6/13
Brendan Gallagher,Canadiens,2024-10-10,Away,15:23,2,0,0,4,0,0,0,1,0/0
Oliver Kapanen,Canadiens,2024-10-10,Away,10:22,0,1,0,1,0,0,0,2,3/5
Alex Newhook,Canadiens,2024-10-10,Away,14:49,0,0,-2,0,1,0,0,2,3/9
Juraj Slafkovsky,Canadiens,2024-10-10,Away,20:37,0,0,1,1,1,0,0,0,0/0
Nick Suzuki,Canadiens,2024-10-10,Away,19:50,0,0,-1,2,0,0,0,0,14/23
Justin Barron,Canadiens,2024-10-10,Away,15:58,0,0,-2,1,1,0,0,0,0/0
Kaiden Guhle,Canadiens,2024-10-10,Away,21:23,0,2,3,0,3,0,0,1,0/0
Lane Hutson,Canadiens,2024-10-10,Away,22:48,0,2,2,1,2,2,1,2,0/0
Mike Matheson,Canadiens,2024-10-10,Away,26:08,0,0,-2,1,3,2,4,2,0/0
David Savard,Canadiens,2024-10-10,Away,13:19,0,0,-2,1,0,0,0,1,0/0
Arber Xhekaj,Canadiens,2024-10-10,Away,10:51,0,0,-3,1,1,0,1,3,0/0
Josh Anderson,Canadiens,2024-10-12,Home,14:59,0,0,0,1,2,4,0,0,0/1
Joel Armia,Canadiens,2024-10-12,Home,15:25,0,0,0,2,1,0,0,1,0/0
Cole Caufield,Canadiens,2024-10-12,Home,17:23,2,0,2,3,1,0,0,1,0/0
Kirby Dach,Canadiens,2024-10-12,Home,14:09,0,0,0,6,2,0,0,2,0/1
Christian Dvorak,Canadiens,2024-10-12,Home,13:50,0,1,0,0,1,0,0,1,2/6
Jake Evans,Canadiens,2024-10-12,Home,14:42,0,0,-1,1,2,0,0,0,10/15
Brendan Gallagher,Canadiens,2024-10-12,Home,16:07,0,0,-1,2,1,0,0,1,0/0
Emil Heineman,Canadiens,2024-10-12,Home,09:27,1,0,0,2,1,2,0,0,0/1
Oliver Kapanen,Canadiens,2024-10-12,Home,14:10,0,0,1,0,0,0,0,0,2/5
Alex Newhook,Canadiens,2024-10-12,Home,14:29,1,0,1,1,0,0,0,0,3/6
Juraj Slafkovsky,Canadiens,2024-10-12,Home,13:38,0,2,2,1,0,0,0,1,0/0
Nick Suzuki,Canadiens,2024-10-12,Home,19:10,0,1,2,3,0,0,1,0,13/20
Justin Barron,Canadiens,2024-10-12,Home,16:56,0,0,0,1,1,2,0,0,0/0
Kaiden Guhle,Canadiens,2024-10-12,Home,21:21,0,1,2,0,8,0,0,1,0/0
Lane Hutson,Canadiens,2024-10-12,Home,18:35,0,2,1,1,0,2,1,0,0/0
Mike Matheson,Canadiens,2024-10-12,Home,25:40,0,1,1,2,1,0,1,2,0/0
David Savard,Canadiens,2024-10-12,Home,15:46,0,0,0,0,3,0,0,2,0/0
Arber Xhekaj,Canadiens,2024-10-12,Home,14:13,0,0,0,0,0,0,0,2,0/0
Josh Anderson,Canadiens,2024-10-14,Home,13:15,0,0,-1,3,0,0,0,2,1/1
Joel Armia,Canadiens,2024-10-14,Home,12:48,0,0,-1,1,0,2,0,0,0/0
Cole Caufield,Canadiens,2024-10-14,Home,20:09,0,0,-2,4,1,0,1,0,0/0
Kirby Dach,Canadiens,2024-10-14,Home,16:55,0,0,-2,0,0,0,2,0,2/8
Christian Dvorak,Canadiens,2024-10-14,Home,12:45,0,0,0,1,0,0,0,1,4/6
Jake Evans,Canadiens,2024-10-14,Home,15:08,0,0,-1,1,1,0,0,1,2/8
Brendan Gallagher,Canadiens,2024-10-14,Home,12:23,0,0,0,4,2,0,1,0,0/0
Emil Heineman,Canadiens,2024-10-14,Home,11:28,1,0,1,2,1,0,0,0,0/0
Oliver Kapanen,Canadiens,2024-10-14,Home,12:08,0,0,0,1,0,0,0,0,0/3
Alex Newhook,Canadiens,2024-10-14,Home,13:58,0,0,-2,0,1,0,0,0,0/2
Juraj Slafkovsky,Canadiens,2024-10-14,Home,19:59,1,0,-2,3,0,0,0,1,0/0
Nick Suzuki,Canadiens,2024-10-14,Home,20:23,0,2,-3,1,2,0,0,0,8/20
Justin Barron,Canadiens,2024-10-14,Home,17:57,0,0,-1,2,3,0,1,1,0/0
Kaiden Guhle,Canadiens,2024-10-14,Home,19:07,1,0,1,1,4,2,0,0,0/0
Lane Hutson,Canadiens,2024-10-14,Home,24:45,0,0,-4,0,4,0,0,0,0/0
Mike Matheson,Canadiens,2024-10-14,Home,24:51,0,2,-1,2,3,0,1,1,0/0
David Savard,Canadiens,2024-10-14,Home,16:25,0,0,-3,0,0,0,0,1,0/0
Arber Xhekaj,Canadiens,2024-10-14,Home,14:18,0,0,0,1,1,0,0,0,0/0
Josh Anderson,Canadiens,2024-10-17,Home,13:59,0,0,0,3,0,0,0,0,0/0
Joel Armia,Canadiens,2024-10-17,Home,14:11,0,0,-1,2,0,0,0,0,0/0
Cole Caufield,Canadiens,2024-10-17,Home,22:07,0,1,0,3,1,0,1,1,0/0
Kirby Dach,Canadiens,2024-10-17,Home,16:42,0,0,-3,1,1,2,0,0,4/4
Christian Dvorak,Canadiens,2024-10-17,Home,10:05,0,0,-2,1,0,0,0,1,1/4
Jake Evans,Canadiens,2024-10-17,Home,14:47,0,0,-1,0,0,0,0,1,9/13
Brendan Gallagher,Canadiens,2024-10-17,Home,14:24,0,0,-1,1,1,0,0,1,0/0
Emil Heineman,Canadiens,2024-10-17,Home,10:13,0,0,0,1,0,0,0,0,0/0
Oliver Kapanen,Canadiens,2024-10-17,Home,11:11,0,0,0,2,0,0,0,0,2/4
Alex Newhook,Canadiens,2024-10-17,Home,14:44,0,0,-3,1,0,0,0,0,0/5
Juraj Slafkovsky,Canadiens,2024-10-17,Home,21:10,0,0,0,0,4,0,2,0,0/0
Nick Suzuki,Canadiens,2024-10-17,Home,22:20,0,1,0,2,0,0,1,0,16/24
Justin Barron,Canadiens,2024-10-17,Home,17:45,1,0,1,2,1,0,1,1,0/0
Kaiden Guhle,Canadiens,2024-10-17,Home,23:09,0,0,-2,2,2,0,1,4,0/0
Lane Hutson,Canadiens,2024-10-17,Home,30:05,0,0,-2,1,3,0,2,1,0/0
Mike Matheson,Canadiens,2024-10-17,Home,07:35,0,0,0,1,1,0,0,0,0/0
David Savard,Canadiens,2024-10-17,Home,18:58,0,0,-1,2,2,0,1,1,0/0
Arber Xhekaj,Canadiens,2024-10-17,Home,14:31,0,0,-1,2,3,2,0,2,0/0
Josh Anderson,Canadiens,2024-10-19,Away,15:45,0,1,1,0,4,0,1,1,0/0
Joel Armia,Canadiens,2024-10-19,Away,16:00,0,0,-1,3,0,2,0,2,0/0
Cole Caufield,Canadiens,2024-10-19,Away,14:36,2,0,0,3,0,0,0,2,1/1
Kirby Dach,Canadiens,2024-10-19,Away,13:47,0,0,-1,2,2,4,1,1,2/4
Christian Dvorak,Canadiens,2024-10-19,Away,16:36,0,0,0,1,0,0,0,1,6/13
Jake Evans,Canadiens,2024-10-19,Away,19:14,0,1,1,3,1,0,0,2,9/20
Brendan Gallagher,Canadiens,2024-10-19,Away,12:50,0,0,1,2,0,0,1,0,0/0
Emil Heineman,Canadiens,2024-10-19,Away,10:36,0,0,0,1,0,0,1,0,0/0
Oliver Kapanen,Canadiens,2024-10-19,Away,11:32,0,0,0,1,1,0,0,1,3/4
Alex Newhook,Canadiens,2024-10-19,Away,12:14,0,0,-1,1,0,0,0,0,2/4
Juraj Slafkovsky,Canadiens,2024-10-19,Away,15:57,0,2,0,1,2,0,0,0,0/0
Nick Suzuki,Canadiens,2024-10-19,Away,18:51,0,1,0,2,0,0,0,0,3/9
Justin Barron,Canadiens,2024-10-19,Away,22:21,0,0,-1,1,0,2,0,0,0/0
Lane Hutson,Canadiens,2024-10-19,Away,24:10,0,0,2,1,2,2,0,2,0/0
Logan Mailloux,Canadiens,2024-10-19,Away,19:03,1,0,1,1,1,2,0,1,0/0
Mike Matheson,Canadiens,2024-10-19,Away,28:10,0,1,0,1,5,0,1,2,0/0
David Savard,Canadiens,2024-10-19,Away,20:35,0,0,-1,0,5,0,0,1,0/0
Jayden Struble,Canadiens,2024-10-19,Away,14:33,0,0,-1,0,3,0,0,0,0/0
Josh Anderson,Canadiens,2024-10-22,Home,16:22,0,1,0,1,0,2,0,1,0/1
Joel Armia,Canadiens,2024-10-22,Home,12:10,0,0,-1,1,0,0,0,0,0/0
Cole Caufield,Canadiens,2024-10-22,Home,16:17,0,0,-1,1,1,0,0,0,0/0
Kirby Dach,Canadiens,2024-10-22,Home,18:32,0,1,-2,4,1,0,1,1,1/1
Christian Dvorak,Canadiens,2024-10-22,Home,11:32,0,0,-3,0,2,0,0,1,3/9
Jake Evans,Canadiens,2024-10-22,Home,16:26,0,0,-1,2,2,2,0,0,8/14
Brendan Gallagher,Canadiens,2024-10-22,Home,15:53,0,0,0,2,0,2,1,4,0/0
Emil Heineman,Canadiens,2024-10-22,Home,09:48,0,0,-3,1,0,0,0,1,0/0
Oliver Kapanen,Canadiens,2024-10-22,Home,13:04,0,0,-1,1,2,0,0,0,3/3
Alex Newhook,Canadiens,2024-10-22,Home,16:58,0,0,0,0,1,0,0,1,5/9
Michael Pezzetta,Canadiens,2024-10-22,Home,07:58,0,0,-3,0,1,0,1,1,0/2
Nick Suzuki,Canadiens,2024-10-22,Home,19:00,2,0,0,2,0,0,1,1,7/12
Justin Barron,Canadiens,2024-10-22,Home,15:01,0,0,0,0,0,0,0,1,0/0
Lane Hutson,Canadiens,2024-10-22,Home,24:10,0,0,-4,1,1,0,0,2,0/0
Logan Mailloux,Canadiens,2024-10-22,Home,19:29,0,0,-3,4,2,0,0,2,0/0
Mike Matheson,Canadiens,2024-10-22,Home,16:47,0,1,0,1,1,19,0,1,0/0
David Savard,Canadiens,2024-10-22,Home,20:39,0,1,-1,1,3,0,0,1,0/0
Jayden Struble,Canadiens,2024-10-22,Home,20:17,0,0,-2,1,0,0,0,5,0/0
Josh Anderson,Canadiens,2024-10-26,Home,12:39,0,0,0,3,2,0,0,1,0/0
Joel Armia,Canadiens,2024-10-26,Home,16:57,1,1,0,4,1,0,0,1,0/0
Cole Caufield,Canadiens,2024-10-26,Home,15:44,1,0,1,1,0,0,2,2,0/0
Kirby Dach,Canadiens,2024-10-26,Home,15:45,1,1,1,4,0,0,0,2,0/0
Christian Dvorak,Canadiens,2024-10-26,Home,16:10,0,1,1,2,0,0,0,1,6/10
Jake Evans,Canadiens,2024-10-26,Home,16:40,1,1,2,2,1,0,1,2,9/18
Brendan Gallagher,Canadiens,2024-10-26,Home,16:12,0,0,0,2,0,0,0,1,0/0
Emil Heineman,Canadiens,2024-10-26,Home,12:26,0,0,0,0,0,0,0,1,0/0
Oliver Kapanen,Canadiens,2024-10-26,Home,13:13,0,0,-1,1,1,0,0,0,1/2
Alex Newhook,Canadiens,2024-10-26,Home,15:10,1,0,-1,1,0,0,1,0,3/8
Michael Pezzetta,Canadiens,2024-10-26,Home,08:51,0,0,1,0,1,4,0,1,1/1
Nick Suzuki,Canadiens,2024-10-26,Home,18:21,0,2,2,2,2,0,0,0,2/11
Lane Hutson,Canadiens,2024-10-26,Home,23:49,0,1,2,1,3,0,1,1,0/0
Logan Mailloux,Canadiens,2024-10-26,Home,11:27,0,0,1,0,2,0,0,0,0/0
Mike Matheson,Canadiens,2024-10-26,Home,22:42,0,2,0,0,2,2,0,0,0/0
David Savard,Canadiens,2024-10-26,Home,21:00,0,1,1,0,5,0,0,1,0/0
