Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Leo Carlsson,Ducks,2024-10-12,Away,16:18,0,0,0,2,2,0,1,0,1/8
Robby Fabbri,Ducks,2024-10-12,Away,13:42,0,0,1,0,0,0,0,0,1/2
Cutter Gauthier,Ducks,2024-10-12,Away,14:49,0,0,0,1,0,0,1,2,1/1
Alex Killorn,Ducks,2024-10-12,Away,18:57,0,0,0,1,1,0,0,0,0/0
Brett Leason,Ducks,2024-10-12,Away,13:42,0,1,1,1,0,0,0,0,0/1
Isac Lundestrom,Ducks,2024-10-12,Away,14:06,1,0,1,2,2,0,0,1,8/19
Brock McGinn,Ducks,2024-10-12,Away,10:50,0,1,1,2,2,0,0,2,0/0
Mason McTavish,Ducks,2024-10-12,Away,15:28,0,0,1,2,1,4,0,1,5/13
Ryan Strome,Ducks,2024-10-12,Away,16:37,0,0,0,2,0,0,0,3,10/13
Troy Terry,Ducks,2024-10-12,Away,14:19,0,0,0,2,1,0,1,0,0/0
Frank Vatrano,Ducks,2024-10-12,Away,16:54,0,0,0,3,1,2,0,0,0/0
Trevor Zegras,Ducks,2024-10-12,Away,16:29,1,0,1,2,0,0,0,0,0/0
Brian Dumoulin,Ducks,2024-10-12,Away,19:06,0,0,0,2,3,0,2,1,0/0
Cam Fowler,Ducks,2024-10-12,Away,21:15,0,1,2,0,2,0,0,1,0/0
Radko Gudas,Ducks,2024-10-12,Away,16:05,0,0,1,0,1,0,0,0,0/0
Tristan Luneau,Ducks,2024-10-12,Away,14:50,0,0,1,4,1,2,0,1,0/0
Pavel Mintyukov,Ducks,2024-10-12,Away,25:00,0,0,0,0,1,0,0,2,0/0
Olen Zellweger,Ducks,2024-10-12,Away,13:43,0,0,0,4,1,0,0,1,0/0
Leo Carlsson,Ducks,2024-10-13,Away,14:56,0,0,0,1,0,0,0,0,2/5
Robby Fabbri,Ducks,2024-10-13,Away,18:02,0,0,-1,3,1,0,0,0,0/1
Cutter Gauthier,Ducks,2024-10-13,Away,14:18,0,0,0,2,0,0,0,1,0/1
Alex Killorn,Ducks,2024-10-13,Away,13:58,0,0,0,1,2,2,0,0,0/0
Brett Leason,Ducks,2024-10-13,Away,14:19,0,0,0,2,1,0,0,0,0/0
Isac Lundestrom,Ducks,2024-10-13,Away,14:33,0,0,0,0,3,0,0,0,5/10
Brock McGinn,Ducks,2024-10-13,Away,10:11,0,0,0,0,2,0,0,0,0/0
Mason McTavish,Ducks,2024-10-13,Away,16:28,0,0,-1,0,2,0,1,1,8/15
Ryan Strome,Ducks,2024-10-13,Away,13:48,0,0,0,5,0,2,0,0,5/11
Troy Terry,Ducks,2024-10-13,Away,13:45,1,0,0,3,1,0,1,0,0/0
Frank Vatrano,Ducks,2024-10-13,Away,14:09,0,0,0,2,1,0,0,1,0/0
Trevor Zegras,Ducks,2024-10-13,Away,16:14,0,0,-1,2,0,2,1,2,0/0
Brian Dumoulin,Ducks,2024-10-13,Away,20:39,0,0,0,0,2,0,1,0,0/0
Cam Fowler,Ducks,2024-10-13,Away,22:49,0,0,-1,1,1,0,0,1,0/0
Radko Gudas,Ducks,2024-10-13,Away,20:13,0,0,0,1,2,0,0,1,0/0
Tristan Luneau,Ducks,2024-10-13,Away,19:33,0,0,-2,0,1,0,0,2,0/0
Pavel Mintyukov,Ducks,2024-10-13,Away,21:15,0,0,1,0,0,0,1,1,0/0
Urho Vaakanainen,Ducks,2024-10-13,Away,13:47,0,0,0,0,1,2,0,1,0/0
