Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Quinton Byfield,Kings,2024-10-10,Away,19:14,0,1,0,4,0,0,0,0,2/8
Phillip Danault,Kings,2024-10-10,Away,19:21,0,0,-1,2,0,0,0,0,11/22
Kevin Fiala,Kings,2024-10-10,Away,17:56,0,1,0,1,1,0,0,0,0/0
Warren Foegele,Kings,2024-10-10,Away,15:26,0,0,0,2,1,0,0,2,0/3
Tanner Jeannot,Kings,2024-10-10,Away,11:23,0,0,0,0,1,0,0,0,0/0
Adrian Kempe,Kings,2024-10-10,Away,18:49,0,1,2,0,1,2,0,3,1/1
Anze Kopitar,Kings,2024-10-10,Away,19:00,3,0,2,4,1,0,0,0,10/24
Alex Laferriere,Kings,2024-10-10,Away,16:43,0,1,1,0,1,0,0,1,0/0
Andre Lee,Kings,2024-10-10,Away,06:26,0,0,0,2,0,0,0,0,0/0
Trevor Lewis,Kings,2024-10-10,Away,07:53,0,0,0,0,2,0,0,0,0/0
Trevor Moore,Kings,2024-10-10,Away,18:01,0,0,-1,2,1,0,1,0,0/0
Alex Turcotte,Kings,2024-10-10,Away,08:00,0,0,-1,0,0,0,1,1,1/2
Mikey Anderson,Kings,2024-10-10,Away,20:14,0,0,0,3,0,2,0,1,0/0
Kyle Burroughs,Kings,2024-10-10,Away,09:25,0,0,0,0,1,5,0,0,0/0
Brandt Clarke,Kings,2024-10-10,Away,17:23,0,0,0,1,3,2,0,1,0/0
Joel Edmundson,Kings,2024-10-10,Away,20:36,0,1,2,1,2,2,0,0,0/0
Vladislav Gavrikov,Kings,2024-10-10,Away,22:57,0,0,2,1,2,0,0,0,0/0
Jordan Spence,Kings,2024-10-10,Away,21:37,0,1,-1,0,3,2,0,3,0/0
Quinton Byfield,Kings,2024-10-12,Away,17:38,0,1,0,3,0,2,1,1,4/8
Phillip Danault,Kings,2024-10-12,Away,18:11,0,1,1,2,1,0,1,0,6/16
Kevin Fiala,Kings,2024-10-12,Away,17:13,0,0,0,3,0,0,1,2,0/1
Warren Foegele,Kings,2024-10-12,Away,14:39,0,0,0,5,1,0,1,1,1/2
Tanner Jeannot,Kings,2024-10-12,Away,11:41,0,0,0,0,0,0,0,0,0/0
Adrian Kempe,Kings,2024-10-12,Away,20:02,0,0,-2,3,0,0,1,1,0/1
Anze Kopitar,Kings,2024-10-12,Away,21:02,0,0,-1,0,3,0,1,0,10/18
Alex Laferriere,Kings,2024-10-12,Away,16:56,0,0,0,5,0,2,0,1,0/0
Andre Lee,Kings,2024-10-12,Away,08:03,0,0,0,0,1,0,0,1,0/0
Trevor Lewis,Kings,2024-10-12,Away,10:26,0,0,0,1,1,0,0,0,1/3
Trevor Moore,Kings,2024-10-12,Away,19:07,1,0,0,7,0,0,1,0,0/0
Alex Turcotte,Kings,2024-10-12,Away,09:03,0,0,1,0,0,0,1,0,0/0
Mikey Anderson,Kings,2024-10-12,Away,22:09,0,0,-1,0,3,0,1,0,0/0
Kyle Burroughs,Kings,2024-10-12,Away,16:26,0,0,0,1,0,0,1,3,0/0
Brandt Clarke,Kings,2024-10-12,Away,17:02,0,0,0,0,2,4,0,1,0/0
Joel Edmundson,Kings,2024-10-12,Away,19:58,0,0,0,1,3,0,0,1,0/0
Vladislav Gavrikov,Kings,2024-10-12,Away,23:17,0,0,0,3,3,0,0,1,0/0
