Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Pavel Buchnevich,Blues,2024-10-08,Away,18:37,0,0,1,3,0,0,0,1,7/15
Radek Faksa,Blues,2024-10-08,Away,09:58,0,0,0,0,0,2,0,0,3/9
Dylan Holloway,Blues,2024-10-08,Away,16:01,0,1,0,1,0,0,0,1,0/0
Mathieu Joseph,Blues,2024-10-08,Away,15:40,0,0,0,1,1,0,2,1,0/0
Kasperi Kapanen,Blues,2024-10-08,Away,17:45,0,0,-1,0,0,0,0,0,0/0
Jordan Kyrou,Blues,2024-10-08,Away,16:38,2,0,1,3,1,0,0,3,1/1
Jake Neighbours,Blues,2024-10-08,Away,15:16,0,0,0,1,0,0,0,0,0/0
Brayden Schenn,Blues,2024-10-08,Away,18:42,0,0,-1,3,4,2,0,0,10/19
Alexandre Texier,Blues,2024-10-08,Away,13:03,0,1,0,2,3,0,0,0,0/0
Robert Thomas,Blues,2024-10-08,Away,19:05,0,1,0,0,2,0,1,1,19/26
Alexey Toropchenko,Blues,2024-10-08,Away,09:40,0,0,0,0,0,5,0,0,0/0
Nathan Walker,Blues,2024-10-08,Away,09:33,0,0,0,2,0,2,0,1,0/1
Philip Broberg,Blues,2024-10-08,Away,20:23,1,0,1,1,2,0,0,0,0/0
Justin Faulk,Blues,2024-10-08,Away,23:10,0,2,1,0,1,0,0,0,0/0
Matthew Kessel,Blues,2024-10-08,Away,12:41,0,0,-1,0,0,0,1,2,0/0
Nick Leddy,Blues,2024-10-08,Away,24:19,0,0,0,2,1,0,0,1,0/0
Colton Parayko,Blues,2024-10-08,Away,22:35,0,0,0,4,3,0,0,2,0/0
Ryan Suter,Blues,2024-10-08,Away,14:54,0,0,-1,2,1,0,0,0,0/0
Zack Bolduc,Blues,2024-10-10,Away,14:30,0,0,1,2,0,0,0,0,0/0
Pavel Buchnevich,Blues,2024-10-10,Away,18:22,1,0,2,2,0,0,2,0,7/12
Radek Faksa,Blues,2024-10-10,Away,12:24,1,0,2,1,0,0,0,0,6/12
Dylan Holloway,Blues,2024-10-10,Away,14:03,0,0,0,3,2,0,0,0,2/4
Mathieu Joseph,Blues,2024-10-10,Away,11:57,0,0,-2,3,2,0,0,0,0/0
Kasperi Kapanen,Blues,2024-10-10,Away,14:38,0,0,-2,3,0,2,0,1,0/0
Jordan Kyrou,Blues,2024-10-10,Away,18:28,0,2,1,1,0,0,0,0,0/0
Jake Neighbours,Blues,2024-10-10,Away,17:10,0,0,0,2,0,0,1,3,0/0
Brayden Schenn,Blues,2024-10-10,Away,17:35,1,0,0,7,1,0,0,0,5/10
Robert Thomas,Blues,2024-10-10,Away,21:04,0,2,0,3,0,0,0,3,15/21
Alexey Toropchenko,Blues,2024-10-10,Away,13:43,0,1,2,1,2,0,0,0,0/0
Nathan Walker,Blues,2024-10-10,Away,12:24,0,1,2,1,1,2,1,0,0/1
Philip Broberg,Blues,2024-10-10,Away,18:27,0,1,0,2,0,0,0,2,0/0
Justin Faulk,Blues,2024-10-10,Away,22:52,1,0,0,2,1,0,1,2,0/0
Matthew Kessel,Blues,2024-10-10,Away,10:53,0,0,1,0,0,0,0,1,0/0
Nick Leddy,Blues,2024-10-10,Away,24:27,0,0,0,2,2,0,0,2,0/0
Colton Parayko,Blues,2024-10-10,Away,24:14,0,1,1,3,4,0,0,0,0/0
Ryan Suter,Blues,2024-10-10,Away,14:14,1,0,1,2,1,0,0,2,0/0
Zack Bolduc,Blues,2024-10-11,Away,13:07,0,0,1,2,1,2,0,0,0/0
Pavel Buchnevich,Blues,2024-10-11,Away,20:39,2,1,2,4,1,0,0,1,2/10
Radek Faksa,Blues,2024-10-11,Away,09:21,0,0,-1,0,0,0,0,0,1/3
Dylan Holloway,Blues,2024-10-11,Away,14:35,0,0,0,0,2,0,1,0,3/9
Mathieu Joseph,Blues,2024-10-11,Away,12:55,0,0,0,0,0,0,1,1,0/0
Kasperi Kapanen,Blues,2024-10-11,Away,13:20,0,0,0,1,0,0,0,0,0/0
Jordan Kyrou,Blues,2024-10-11,Away,20:39,0,2,2,0,0,2,1,1,0/0
Jake Neighbours,Blues,2024-10-11,Away,19:09,0,0,-3,1,0,0,0,0,0/0
Brayden Schenn,Blues,2024-10-11,Away,17:21,0,0,-3,2,1,0,0,3,7/10
Robert Thomas,Blues,2024-10-11,Away,21:34,1,0,-2,2,0,0,2,2,15/21
Alexey Toropchenko,Blues,2024-10-11,Away,09:59,0,0,-1,1,0,0,1,0,0/0
Nathan Walker,Blues,2024-10-11,Away,09:30,0,0,-1,0,0,0,0,0,0/0
Philip Broberg,Blues,2024-10-11,Away,19:30,0,1,1,2,0,0,2,0,0/0
Justin Faulk,Blues,2024-10-11,Away,25:53,0,1,0,2,3,0,0,0,0/0
Pierre-Olivier Joseph,Blues,2024-10-11,Away,12:39,0,0,-1,2,2,0,0,2,0/0
Nick Leddy,Blues,2024-10-11,Away,18:54,0,0,-2,0,0,0,2,2,0/0
Colton Parayko,Blues,2024-10-11,Away,20:38,0,1,-2,2,2,0,0,1,0/0
Ryan Suter,Blues,2024-10-11,Away,16:55,0,0,0,1,1,0,0,0,0/0
Zack Bolduc,Blues,2024-10-15,Home,10:45,0,1,1,0,0,0,0,0,0/0
Pavel Buchnevich,Blues,2024-10-15,Home,21:40,0,0,-1,3,0,0,0,0,0/4
Radek Faksa,Blues,2024-10-15,Home,11:48,0,0,0,2,1,0,1,1,2/7
Dylan Holloway,Blues,2024-10-15,Home,11:28,0,0,1,2,1,0,0,0,3/4
Mathieu Joseph,Blues,2024-10-15,Home,10:58,1,0,1,2,1,2,0,2,0/0
Jordan Kyrou,Blues,2024-10-15,Home,19:46,0,0,-1,5,1,0,0,1,1/1
Jake Neighbours,Blues,2024-10-15,Home,15:44,0,0,-2,2,1,0,0,1,0/0
Brandon Saad,Blues,2024-10-15,Home,13:38,0,0,-1,1,0,0,1,1,0/0
