Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Max Domi,Maple,2024-10-09,Away,17:00,0,0,0,1,1,2,0,0,0/2
Pontus Holmberg,Maple,2024-10-09,Away,12:10,0,0,0,2,1,0,0,0,5/8
David Kampf,Maple,2024-10-09,Away,09:43,0,0,0,0,1,0,0,0,2/2
Matthew Knies,Maple,2024-10-09,Away,18:48,0,0,0,5,0,0,0,1,0/0
Steven Lorentz,Maple,2024-10-09,Away,09:03,0,0,0,4,1,0,0,0,1/1
Mitch Marner,Maple,2024-10-09,Away,22:39,0,0,0,6,1,0,3,2,0/0
Auston Matthews,Maple,2024-10-09,Away,21:13,0,0,0,6,2,0,0,2,7/11
William Nylander,Maple,2024-10-09,Away,19:18,0,0,0,1,0,0,1,1,0/0
Max Pacioretty,Maple,2024-10-09,Away,13:24,0,0,0,2,1,2,0,2,1/1
Ryan Reaves,Maple,2024-10-09,Away,07:36,0,0,0,1,0,0,0,0,0/0
Nicholas Robertson,Maple,2024-10-09,Away,12:27,0,0,0,2,0,0,0,0,0/0
John Tavares,Maple,2024-10-09,Away,18:48,0,0,0,4,0,0,0,0,8/11
Simon Benoit,Maple,2024-10-09,Away,14:26,0,0,0,1,1,0,0,0,0/0
Oliver Ekman-Larsson,Maple,2024-10-09,Away,20:45,0,0,0,3,0,2,0,1,0/0
Jake McCabe,Maple,2024-10-09,Away,18:17,0,0,0,2,1,2,0,1,0/0
Morgan Rielly,Maple,2024-10-09,Away,24:05,0,0,0,4,2,0,0,2,0/0
Chris Tanev,Maple,2024-10-09,Away,18:17,0,0,0,1,4,0,0,0,0/0
Conor Timmins,Maple,2024-10-09,Away,16:08,0,0,0,3,1,2,0,1,0/0
Max Domi,Maple,2024-10-10,Away,13:51,0,1,1,0,1,0,0,0,2/4
Pontus Holmberg,Maple,2024-10-10,Away,14:24,0,1,1,0,4,0,1,1,8/14
David Kampf,Maple,2024-10-10,Away,11:58,0,1,1,1,0,0,0,2,3/6
Matthew Knies,Maple,2024-10-10,Away,15:44,0,0,0,3,0,0,0,0,0/0
Steven Lorentz,Maple,2024-10-10,Away,15:07,1,1,1,2,2,0,1,0,0/0
Mitch Marner,Maple,2024-10-10,Away,21:20,0,0,-1,1,0,0,1,1,0/0
Auston Matthews,Maple,2024-10-10,Away,21:04,0,0,0,1,1,0,0,2,8/16
Bobby McMann,Maple,2024-10-10,Away,10:20,1,0,2,3,0,0,0,0,0/0
William Nylander,Maple,2024-10-10,Away,15:35,0,0,1,0,0,2,0,3,0/0
Max Pacioretty,Maple,2024-10-10,Away,09:36,1,0,1,2,0,0,0,0,1/1
Nicholas Robertson,Maple,2024-10-10,Away,10:16,0,0,1,1,1,0,0,1,0/0
John Tavares,Maple,2024-10-10,Away,15:04,1,0,1,2,0,2,0,2,4/13
Simon Benoit,Maple,2024-10-10,Away,15:52,0,0,1,1,5,4,0,1,0/0
Oliver Ekman-Larsson,Maple,2024-10-10,Away,20:34,0,1,2,3,3,0,0,0,0/0
Jake McCabe,Maple,2024-10-10,Away,23:25,0,1,1,0,6,0,1,2,0/0
Morgan Rielly,Maple,2024-10-10,Away,20:13,0,0,1,1,2,0,0,1,0/0
Chris Tanev,Maple,2024-10-10,Away,21:51,0,0,1,0,3,0,0,1,0/0
Conor Timmins,Maple,2024-10-10,Away,14:58,0,1,0,1,1,2,0,0,0/0
Max Domi,Maple,2024-10-12,Home,16:03,0,2,2,0,0,0,2,0,7/12
Pontus Holmberg,Maple,2024-10-12,Home,12:14,0,0,0,1,0,0,0,1,2/6
David Kampf,Maple,2024-10-12,Home,10:03,0,0,-1,2,0,0,0,0,2/6
Matthew Knies,Maple,2024-10-12,Home,21:06,1,0,4,3,2,0,0,0,0/0
Steven Lorentz,Maple,2024-10-12,Home,10:00,0,0,-1,0,0,0,1,1,1/1
Mitch Marner,Maple,2024-10-12,Home,21:36,1,1,2,2,0,0,2,0,0/0
Auston Matthews,Maple,2024-10-12,Home,21:46,0,0,2,8,2,0,0,3,9/15
Bobby McMann,Maple,2024-10-12,Home,12:20,0,0,0,3,0,2,2,1,0/1
William Nylander,Maple,2024-10-12,Home,20:52,2,0,2,4,1,0,0,0,4/6
Max Pacioretty,Maple,2024-10-12,Home,10:56,0,0,0,0,2,2,0,2,0/0
Ryan Reaves,Maple,2024-10-12,Home,07:04,0,0,-1,1,2,0,0,1,0/0
Nicholas Robertson,Maple,2024-10-12,Home,14:00,0,0,0,1,1,0,0,0,0/0
Simon Benoit,Maple,2024-10-12,Home,12:35,0,0,1,0,0,4,0,1,0/0
Oliver Ekman-Larsson,Maple,2024-10-12,Home,25:02,0,0,-1,5,0,0,0,2,0/0
Jake McCabe,Maple,2024-10-12,Home,24:10,0,0,3,0,2,0,0,1,0/0
Morgan Rielly,Maple,2024-10-12,Home,20:08,0,1,1,2,3,0,0,1,0/0
Chris Tanev,Maple,2024-10-12,Home,18:42,0,0,3,0,3,0,1,2,0/0
Conor Timmins,Maple,2024-10-12,Home,14:56,0,0,-1,1,1,0,0,0,0/0
Max Domi,Maple,2024-10-16,Home,13:12,0,2,3,1,0,0,0,1,10/16
Pontus Holmberg,Maple,2024-10-16,Home,15:49,0,0,-1,1,0,0,0,0,0/0
David Kampf,Maple,2024-10-16,Home,12:01,0,0,-1,0,0,0,0,0,6/13
Matthew Knies,Maple,2024-10-16,Home,15:11,0,0,1,2,1,0,0,0,0/0
Steven Lorentz,Maple,2024-10-16,Home,11:27,0,0,-1,1,4,0,1,0,0/0
Mitch Marner,Maple,2024-10-16,Home,18:37,0,3,1,1,0,0,1,0,0/0
Auston Matthews,Maple,2024-10-16,Home,18:02,1,2,1,4,1,0,0,0,5/11
Bobby McMann,Maple,2024-10-16,Home,14:58,2,0,3,2,0,0,0,1,0/0
William Nylander,Maple,2024-10-16,Home,17:33,1,1,3,3,0,0,0,1,3/4
Ryan Reaves,Maple,2024-10-16,Home,09:42,0,0,-1,1,0,0,0,0,0/0
Nicholas Robertson,Maple,2024-10-16,Home,14:39,0,0,-1,1,1,0,0,0,0/0
John Tavares,Maple,2024-10-16,Home,16:10,1,0,-1,3,1,0,0,1,9/16
Simon Benoit,Maple,2024-10-16,Home,20:29,0,0,1,0,1,0,0,0,0/0
Oliver Ekman-Larsson,Maple,2024-10-16,Home,21:00,0,2,2,4,2,2,1,0,0/0
Timothy Liljegren,Maple,2024-10-16,Home,13:55,0,0,0,0,2,2,0,1,0/0
Jake McCabe,Maple,2024-10-16,Home,18:38,0,2,3,0,1,2,0,0,0/0
Morgan Rielly,Maple,2024-10-16,Home,19:56,1,0,-1,1,1,2,0,1,0/0
Chris Tanev,Maple,2024-10-16,Home,20:41,0,0,-1,1,3,0,1,0,0/0
Max Domi,Maple,2024-10-19,Home,16:10,0,0,-2,1,0,2,2,0,3/7
Pontus Holmberg,Maple,2024-10-19,Home,11:18,0,0,-1,0,0,2,0,1,1/1
David Kampf,Maple,2024-10-19,Home,11:31,0,0,-1,1,1,0,0,2,2/5
Matthew Knies,Maple,2024-10-19,Home,17:49,0,1,0,0,1,0,1,0,0/0
Steven Lorentz,Maple,2024-10-19,Home,11:44,0,0,0,0,2,0,0,2,0/0
Mitch Marner,Maple,2024-10-19,Home,23:44,0,0,-2,1,1,0,2,2,1/1
Auston Matthews,Maple,2024-10-19,Home,22:33,1,0,-1,9,1,0,0,0,8/19
Bobby McMann,Maple,2024-10-19,Home,15:25,0,0,0,2,0,0,0,0,0/0
William Nylander,Maple,2024-10-19,Home,19:54,0,0,-3,8,0,0,0,3,6/9
Ryan Reaves,Maple,2024-10-19,Home,08:36,0,0,0,0,1,0,1,0,0/0
Nicholas Robertson,Maple,2024-10-19,Home,10:17,0,0,0,2,0,0,1,0,0/0
John Tavares,Maple,2024-10-19,Home,15:58,0,0,-3,2,0,0,0,0,6/9
Simon Benoit,Maple,2024-10-19,Home,15:59,0,0,0,1,2,0,0,0,0/0
Oliver Ekman-Larsson,Maple,2024-10-19,Home,24:21,0,1,-1,2,1,0,0,0,0/0
Jake McCabe,Maple,2024-10-19,Home,19:04,0,0,0,2,2,0,0,2,0/0
Morgan Rielly,Maple,2024-10-19,Home,23:10,0,0,-2,2,0,0,0,0,0/0
Chris Tanev,Maple,2024-10-19,Home,14:07,0,0,-1,1,2,0,0,2,0/0
Conor Timmins,Maple,2024-10-19,Home,15:50,0,0,0,1,1,0,0,1,0/0
Max Domi,Maple,2024-10-21,Home,10:35,0,1,2,1,1,9,0,2,1/5
Pontus Holmberg,Maple,2024-10-21,Home,13:52,0,0,-1,0,1,0,0,1,0/4
David Kampf,Maple,2024-10-21,Home,12:28,0,0,-1,0,0,0,1,2,2/4
Matthew Knies,Maple,2024-10-21,Home,14:31,1,0,1,2,0,0,0,0,0/0
Steven Lorentz,Maple,2024-10-21,Home,11:41,0,0,-1,1,0,0,0,0,1/1
Mitch Marner,Maple,2024-10-21,Home,22:21,0,2,1,2,0,0,1,3,0/2
Auston Matthews,Maple,2024-10-21,Home,20:38,1,0,1,6,3,0,0,0,10/20
Bobby McMann,Maple,2024-10-21,Home,11:36,0,1,2,0,0,2,0,0,0/0
William Nylander,Maple,2024-10-21,Home,16:22,2,1,2,5,0,0,0,0,0/0
Max Pacioretty,Maple,2024-10-21,Home,12:21,1,0,1,3,1,0,0,1,0/0
Nicholas Robertson,Maple,2024-10-21,Home,12:32,0,0,1,1,1,0,1,0,0/0
