Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Jonny Brodzinski,Rangers,2024-10-09,Away,09:52,0,1,1,0,1,0,0,0,1/1
Sam Carrick,Rangers,2024-10-09,Away,13:01,1,0,1,2,0,0,0,0,5/10
Filip Chytil,Rangers,2024-10-09,Away,15:08,1,0,1,4,0,2,1,0,2/9
Will Cuylle,Rangers,2024-10-09,Away,15:20,0,1,1,1,0,2,0,1,0/1
Adam Edstrom,Rangers,2024-10-09,Away,10:48,0,0,1,0,1,0,1,1,0/0
Kaapo Kakko,Rangers,2024-10-09,Away,14:40,0,0,1,5,1,0,1,0,1/2
Chris Kreider,Rangers,2024-10-09,Away,16:30,2,0,2,5,0,0,0,0,1/1
Alexis Lafreni̬re,Rangers,2024-10-09,Away,15:42,1,1,2,3,1,0,0,1,0/0
Artemi Panarin,Rangers,2024-10-09,Away,16:45,0,2,2,2,0,0,0,2,0/0
Reilly Smith,Rangers,2024-10-09,Away,14:54,0,1,1,1,1,2,0,1,0/0
Vincent Trocheck,Rangers,2024-10-09,Away,17:59,1,0,3,3,2,0,0,2,7/13
Mika Zibanejad,Rangers,2024-10-09,Away,15:54,0,0,1,0,0,0,0,0,14/22
Adam Fox,Rangers,2024-10-09,Away,20:58,0,0,2,2,1,0,0,1,0/0
Zac Jones,Rangers,2024-10-09,Away,17:29,0,0,1,2,0,0,0,3,0/0
Victor Mancini,Rangers,2024-10-09,Away,17:27,0,0,0,1,1,0,0,2,0/0
K'Andre Miller,Rangers,2024-10-09,Away,20:38,0,0,3,2,4,0,0,0,0/0
Braden Schneider,Rangers,2024-10-09,Away,20:20,0,0,4,3,3,0,1,3,0/0
Jacob Trouba,Rangers,2024-10-09,Away,18:35,0,2,2,4,5,2,0,1,0/0
Sam Carrick,Rangers,2024-10-12,Home,04:35,0,0,1,0,0,5,0,0,2/5
Filip Chytil,Rangers,2024-10-12,Home,12:57,0,0,3,1,1,0,0,0,2/9
Will Cuylle,Rangers,2024-10-12,Home,12:12,1,1,3,3,1,2,1,1,0/0
Adam Edstrom,Rangers,2024-10-12,Home,01:52,0,0,0,1,0,15,0,0,0/0
Kaapo Kakko,Rangers,2024-10-12,Home,12:19,0,1,3,1,0,0,0,1,0/0
Chris Kreider,Rangers,2024-10-12,Home,21:21,0,0,-2,2,0,0,1,1,3/6
Alexis Lafreni̬re,Rangers,2024-10-12,Home,23:41,0,1,-2,2,0,0,0,3,0/1
Artemi Panarin,Rangers,2024-10-12,Home,24:17,2,0,-1,4,1,0,0,2,0/0
Matt Rempe,Rangers,2024-10-12,Home,03:40,0,0,0,0,0,0,0,0,0/1
Reilly Smith,Rangers,2024-10-12,Home,19:01,0,0,-1,4,0,0,0,1,0/0
Vincent Trocheck,Rangers,2024-10-12,Home,24:56,0,1,-1,3,0,2,0,4,15/23
Mika Zibanejad,Rangers,2024-10-12,Home,23:54,0,0,-4,1,1,0,0,1,15/20
Adam Fox,Rangers,2024-10-12,Home,23:34,0,3,1,0,1,0,1,2,0/0
Zac Jones,Rangers,2024-10-12,Home,15:26,0,0,1,1,0,0,0,0,0/0
Victor Mancini,Rangers,2024-10-12,Home,14:54,0,0,0,2,3,0,0,1,0/0
K'Andre Miller,Rangers,2024-10-12,Home,26:59,1,0,0,3,3,2,0,1,0/0
Braden Schneider,Rangers,2024-10-12,Home,18:39,1,0,-1,4,0,0,0,2,0/0
Jacob Trouba,Rangers,2024-10-12,Home,20:39,0,1,-2,2,2,0,1,2,0/0
Jonny Brodzinski,Rangers,2024-10-14,Home,08:11,0,0,0,1,0,2,0,0,1/2
Sam Carrick,Rangers,2024-10-14,Home,12:40,0,0,0,1,0,0,1,0,4/6
Filip Chytil,Rangers,2024-10-14,Home,13:14,0,0,0,2,0,0,0,0,7/14
Will Cuylle,Rangers,2024-10-14,Home,12:37,0,0,0,3,1,0,0,0,0/0
Adam Edstrom,Rangers,2024-10-14,Home,07:32,0,0,0,0,1,0,0,0,0/0
Kaapo Kakko,Rangers,2024-10-14,Home,14:38,0,0,0,0,0,0,0,1,0/0
Chris Kreider,Rangers,2024-10-14,Home,16:47,1,0,1,2,0,2,0,0,0/1
Alexis Lafreni̬re,Rangers,2024-10-14,Home,16:18,1,0,0,1,0,2,1,1,1/1
Artemi Panarin,Rangers,2024-10-14,Home,20:37,0,3,1,1,0,0,0,0,0/0
Reilly Smith,Rangers,2024-10-14,Home,13:39,1,0,2,2,0,0,0,0,0/0
Vincent Trocheck,Rangers,2024-10-14,Home,25:07,0,0,0,5,1,0,0,0,17/28
Mika Zibanejad,Rangers,2024-10-14,Home,17:10,1,2,2,5,0,2,0,3,9/15
Adam Fox,Rangers,2024-10-14,Home,21:53,0,0,0,0,1,0,1,1,0/0
Zac Jones,Rangers,2024-10-14,Home,14:34,0,1,1,0,0,0,0,2,0/0
Victor Mancini,Rangers,2024-10-14,Home,13:15,0,0,1,4,1,0,0,1,0/0
K'Andre Miller,Rangers,2024-10-14,Home,25:04,0,0,1,0,2,0,1,1,0/0
Braden Schneider,Rangers,2024-10-14,Home,17:32,0,0,0,0,3,0,0,0,0/0
Jacob Trouba,Rangers,2024-10-14,Home,21:24,0,1,1,1,0,0,0,0,0/0
Jonny Brodzinski,Rangers,2024-10-17,Away,11:12,0,0,0,0,0,0,2,1,2/3
Sam Carrick,Rangers,2024-10-17,Away,11:38,0,0,0,2,2,2,0,1,5/11
Filip Chytil,Rangers,2024-10-17,Away,13:17,0,1,1,1,1,0,0,0,9/14
Will Cuylle,Rangers,2024-10-17,Away,14:42,0,0,1,4,1,0,0,1,0/1
Adam Edstrom,Rangers,2024-10-17,Away,09:05,0,0,0,2,2,0,0,0,0/0
Kaapo Kakko,Rangers,2024-10-17,Away,12:39,0,1,1,2,0,6,0,0,0/0
Chris Kreider,Rangers,2024-10-17,Away,14:56,0,0,0,3,0,0,0,0,1/1
