Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Anthony Cirelli,Canada,2025-02-12,Away,12:22,0,0,-2,1,1,0,0,0,3/8
Sidney Crosby,Canada,2025-02-12,Away,17:10,0,3,1,0,1,0,0,0,2/4
Brandon Hagel,Canada,2025-02-12,Away,15:24,0,0,-2,1,2,0,1,0,1/1
Seth Jarvis,Canada,2025-02-12,Away,11:07,0,1,1,0,2,0,0,1,1/1
Travis Konecny,Canada,2025-02-12,Away,10:20,0,0,-2,0,0,0,0,1,0/0
Nathan MacKinnon,Canada,2025-02-12,Away,19:56,1,0,2,6,3,0,0,3,12/24
Brad Marchand,Canada,2025-02-12,Away,11:22,1,0,1,2,0,0,1,0,0/0
Mitch Marner,Canada,2025-02-12,Away,21:06,1,0,0,2,2,0,1,0,0/0
Connor McDavid,Canada,2025-02-12,Away,21:26,0,1,-1,1,1,0,0,1,12/14
Brayden Point,Canada,2025-02-12,Away,14:18,0,1,1,0,1,0,0,1,5/8
Sam Reinhart,Canada,2025-02-12,Away,18:55,0,0,-1,3,1,0,0,1,3/8
Mark Stone,Canada,2025-02-12,Away,16:48,1,0,1,3,2,0,1,0,0/0
Drew Doughty,Canada,2025-02-12,Away,18:54,0,0,-1,1,0,0,1,0,0/0
Cale Makar,Canada,2025-02-12,Away,28:06,0,0,0,2,3,0,2,4,0/0
Josh Morrissey,Canada,2025-02-12,Away,23:17,0,0,0,0,2,2,0,2,0/0
Colton Parayko,Canada,2025-02-12,Away,22:58,0,0,0,3,3,0,0,2,0/0
Shea Theodore,Canada,2025-02-12,Away,06:59,0,0,0,0,0,0,0,0,0/0
Devon Toews,Canada,2025-02-12,Away,25:53,0,0,0,3,2,0,1,2,0/0
Sam Bennett,Canada,2025-02-15,Home,07:41,0,0,-1,3,0,5,0,0,2/5
Anthony Cirelli,Canada,2025-02-15,Home,13:40,0,0,0,1,2,0,0,0,3/7
Sidney Crosby,Canada,2025-02-15,Home,19:03,0,0,-2,0,1,2,0,2,0/0
Brandon Hagel,Canada,2025-02-15,Home,13:52,0,0,0,2,0,5,0,2,0/0
Seth Jarvis,Canada,2025-02-15,Home,11:07,0,0,-1,0,1,0,0,0,0/1
Nathan MacKinnon,Canada,2025-02-15,Home,18:31,0,0,-1,1,0,0,0,2,8/13
Brad Marchand,Canada,2025-02-15,Home,08:23,0,0,0,2,1,0,1,0,0/0
Mitch Marner,Canada,2025-02-15,Home,19:29,0,0,-1,1,0,0,0,1,0/0
Connor McDavid,Canada,2025-02-15,Home,22:44,1,0,-1,3,0,0,1,2,7/13
Brayden Point,Canada,2025-02-15,Home,16:36,0,0,0,2,0,0,0,0,5/13
Sam Reinhart,Canada,2025-02-15,Home,15:10,0,0,-1,0,1,0,0,0,3/6
Mark Stone,Canada,2025-02-15,Home,17:51,0,0,0,3,1,0,1,2,0/0
Drew Doughty,Canada,2025-02-15,Home,21:15,0,1,1,1,1,0,0,3,0/0
Thomas Harley,Canada,2025-02-15,Home,18:17,0,0,-1,2,3,0,0,0,0/0
Josh Morrissey,Canada,2025-02-15,Home,22:08,0,0,0,1,3,0,0,0,0/0
Colton Parayko,Canada,2025-02-15,Home,18:33,0,0,0,1,2,5,0,0,0/0
Travis Sanheim,Canada,2025-02-15,Home,15:14,0,0,-1,1,0,0,1,1,0/0
Devon Toews,Canada,2025-02-15,Home,20:04,0,0,-2,2,2,0,2,3,0/0
Sam Bennett,Canada,2025-02-17,Away,14:11,0,0,-1,0,0,0,0,0,5/10
Anthony Cirelli,Canada,2025-02-17,Away,14:15,0,0,-1,1,0,0,0,0,3/10
