Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Sebastian Aho,Finland,2025-02-13,Home,16:25,0,0,0,0,1,2,0,2,5/14
Joel Armia,Finland,2025-02-13,Home,09:52,0,0,-1,1,0,4,0,0,0/0
Aleksander Barkov,Finland,2025-02-13,Home,20:48,0,0,-1,5,1,0,0,0,15/29
Mikael Granlund,Finland,2025-02-13,Home,13:41,0,1,-1,0,2,0,0,2,1/1
Erik Haula,Finland,2025-02-13,Home,10:34,0,0,-1,2,1,0,0,0,1/5
Roope Hintz,Finland,2025-02-13,Home,16:42,0,0,0,0,1,0,0,2,2/2
Patrik Laine,Finland,2025-02-13,Home,15:58,0,0,0,1,0,0,0,3,0/0
Artturi Lehkonen,Finland,2025-02-13,Home,16:28,0,0,-1,4,0,0,0,1,0/0
Anton Lundell,Finland,2025-02-13,Home,13:46,0,0,-1,3,0,0,0,0,3/14
Eetu Luostarinen,Finland,2025-02-13,Home,14:36,0,0,-1,1,0,0,2,1,0/0
Mikko Rantanen,Finland,2025-02-13,Home,19:21,0,0,-1,0,0,0,0,0,0/0
Teuvo Teravainen,Finland,2025-02-13,Home,10:34,0,0,-1,0,0,0,0,1,0/0
Henri Jokiharju,Finland,2025-02-13,Home,19:11,1,0,1,2,1,0,0,3,0/0
Esa Lindell,Finland,2025-02-13,Home,24:31,0,0,-2,0,1,0,0,2,0/0
Olli Maatta,Finland,2025-02-13,Home,20:57,0,1,1,0,0,2,0,1,0/0
Nikolas Matinpalo,Finland,2025-02-13,Home,14:32,0,0,-2,2,1,2,0,0,0/0
Niko Mikkola,Finland,2025-02-13,Home,21:34,0,0,-2,0,1,0,0,3,0/0
Urho Vaakanainen,Finland,2025-02-13,Home,13:12,0,0,-2,0,1,0,0,2,0/0
Sebastian Aho,Finland,2025-02-15,Away,20:30,0,1,0,1,0,0,1,1,4/10
Aleksander Barkov,Finland,2025-02-15,Away,19:50,1,0,0,2,2,2,0,0,13/23
Mikael Granlund,Finland,2025-02-15,Away,17:42,1,0,1,2,0,0,0,0,0/0
Erik Haula,Finland,2025-02-15,Away,08:21,0,0,-1,0,0,0,0,0,4/6
Roope Hintz,Finland,2025-02-15,Away,19:16,0,0,0,2,1,0,0,0,3/5
Kaapo Kakko,Finland,2025-02-15,Away,13:13,0,1,0,2,0,0,0,1,1/1
Patrik Laine,Finland,2025-02-15,Away,15:05,0,2,1,1,0,0,0,1,0/0
Artturi Lehkonen,Finland,2025-02-15,Away,11:31,0,0,-2,2,0,0,1,1,0/0
Anton Lundell,Finland,2025-02-15,Away,14:58,1,0,1,4,2,0,0,0,6/8
Eetu Luostarinen,Finland,2025-02-15,Away,17:19,0,1,1,0,1,0,0,0,0/1
Mikko Rantanen,Finland,2025-02-15,Away,18:25,1,0,-1,1,0,0,1,1,0/1
Teuvo Teravainen,Finland,2025-02-15,Away,06:23,0,0,-1,1,0,0,0,0,0/0
Henri Jokiharju,Finland,2025-02-15,Away,16:01,0,0,-1,1,0,0,1,0,0/0
Esa Lindell,Finland,2025-02-15,Away,28:20,0,0,0,1,4,0,1,3,0/0
Olli Maatta,Finland,2025-02-15,Away,21:07,0,1,-1,0,2,0,2,1,0/0
Nikolas Matinpalo,Finland,2025-02-15,Away,13:16,0,0,0,1,1,0,0,1,0/0
Niko Mikkola,Finland,2025-02-15,Away,25:50,0,1,1,0,2,2,0,3,0/0
Urho Vaakanainen,Finland,2025-02-15,Away,14:20,0,0,0,0,0,0,0,1,0/0
Sebastian Aho,Finland,2025-02-17,Home,19:04,0,1,-1,3,1,0,1,2,1/1
Joel Armia,Finland,2025-02-17,Home,11:20,0,0,0,0,1,0,0,2,0/0
Aleksander Barkov,Finland,2025-02-17,Home,24:37,0,1,2,2,4,0,0,1,16/27
Mikael Granlund,Finland,2025-02-17,Home,18:55,2,0,-1,4,0,0,0,0,0/0
Erik Haula,Finland,2025-02-17,Home,11:57,0,0,0,2,2,0,0,1,2/7
Roope Hintz,Finland,2025-02-17,Home,16:25,0,0,-1,0,1,0,0,2,7/15
Kaapo Kakko,Finland,2025-02-17,Home,11:27,0,0,0,3,0,0,0,0,0/0
Patrik Laine,Finland,2025-02-17,Home,16:39,0,1,0,1,0,0,0,2,0/0
Artturi Lehkonen,Finland,2025-02-17,Home,18:56,0,1,1,2,0,0,0,0,0/0
Anton Lundell,Finland,2025-02-17,Home,11:55,0,0,-2,1,0,0,0,0,2/3
Eetu Luostarinen,Finland,2025-02-17,Home,10:20,0,0,-2,0,0,0,1,1,0/1
Mikko Rantanen,Finland,2025-02-17,Home,24:00,0,0,1,5,1,0,0,0,0/0
Henri Jokiharju,Finland,2025-02-17,Home,16:29,0,0,-1,1,2,0,0,2,0/0
Esa Lindell,Finland,2025-02-17,Home,27:21,1,0,0,1,3,0,0,1,0/0
Olli Maatta,Finland,2025-02-17,Home,17:58,0,0,0,0,2,0,0,2,0/0
Nikolas Matinpalo,Finland,2025-02-17,Home,11:43,0,0,-3,0,0,0,0,1,0/0
Niko Mikkola,Finland,2025-02-17,Home,23:37,0,0,1,1,1,0,1,1,0/0
Urho Vaakanainen,Finland,2025-02-17,Home,11:14,0,0,-3,0,1,0,0,0,0/0
