Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Matty Beniers,Kraken,2024-10-08,Home,18:00,0,0,1,3,0,0,1,0,6/15
Oliver Bjorkstrand,Kraken,2024-10-08,Home,12:41,0,0,1,4,1,0,0,0,0/0
Andre Burakovsky,Kraken,2024-10-08,Home,15:42,0,0,-1,1,1,0,0,0,0/0
Jordan Eberle,Kraken,2024-10-08,Home,15:58,0,1,0,1,1,0,0,2,1/2
Yanni Gourde,Kraken,2024-10-08,Home,13:32,0,0,0,1,1,7,1,2,4/11
Tye Kartye,Kraken,2024-10-08,Home,11:52,0,0,0,2,1,0,0,0,0/2
Jared McCann,Kraken,2024-10-08,Home,15:10,0,0,1,2,0,0,0,1,0/0
Jaden Schwartz,Kraken,2024-10-08,Home,16:15,0,0,-2,1,0,0,0,0,0/0
Chandler Stephenson,Kraken,2024-10-08,Home,19:51,0,0,-2,1,0,0,0,0,14/23
Brandon Tanev,Kraken,2024-10-08,Home,14:29,0,0,0,1,2,0,1,0,0/0
Eeli Tolvanen,Kraken,2024-10-08,Home,13:26,1,0,1,2,1,0,0,0,0/0
Shane Wright,Kraken,2024-10-08,Home,14:22,0,0,1,1,0,0,0,1,6/18
Will Borgen,Kraken,2024-10-08,Home,15:47,0,1,1,2,0,0,0,1,0/0
Vince Dunn,Kraken,2024-10-08,Home,22:43,1,0,0,4,6,2,0,1,0/0
Ryker Evans,Kraken,2024-10-08,Home,16:21,0,1,1,2,0,0,0,0,0/0
Adam Larsson,Kraken,2024-10-08,Home,19:17,0,0,1,1,4,4,0,0,0/0
Brandon Montour,Kraken,2024-10-08,Home,24:14,0,0,-2,3,0,0,0,2,0/0
Jamie Oleksiak,Kraken,2024-10-08,Home,19:40,0,0,-1,0,0,0,0,0,0/0
Matty Beniers,Kraken,2024-10-12,Away,18:12,0,0,0,3,1,0,0,0,5/13
Oliver Bjorkstrand,Kraken,2024-10-12,Away,17:08,0,0,0,4,0,0,0,0,0/0
Andre Burakovsky,Kraken,2024-10-12,Away,17:02,0,2,0,2,1,0,0,0,0/0
Jordan Eberle,Kraken,2024-10-12,Away,17:33,2,0,1,2,1,0,0,1,0/1
Yanni Gourde,Kraken,2024-10-12,Away,12:54,0,1,0,0,2,0,1,1,13/17
Tye Kartye,Kraken,2024-10-12,Away,10:35,1,0,0,2,0,0,0,0,0/0
Jared McCann,Kraken,2024-10-12,Away,16:13,1,1,1,4,2,0,0,1,0/1
Jaden Schwartz,Kraken,2024-10-12,Away,17:25,0,0,-1,0,0,2,2,0,0/0
Chandler Stephenson,Kraken,2024-10-12,Away,20:28,0,0,-1,0,0,0,1,1,6/16
Brandon Tanev,Kraken,2024-10-12,Away,11:45,0,1,0,1,0,2,1,0,0/1
Eeli Tolvanen,Kraken,2024-10-12,Away,14:27,0,0,0,1,4,0,0,1,0/0
Shane Wright,Kraken,2024-10-12,Away,16:02,0,0,1,2,0,0,1,1,8/16
Will Borgen,Kraken,2024-10-12,Away,15:27,0,0,-1,1,1,0,0,0,0/0
Vince Dunn,Kraken,2024-10-12,Away,20:00,0,1,-1,2,0,0,0,4,0/0
