Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Mason Appleton,Jets,2024-10-09,Away,16:11,1,2,3,3,1,0,0,0,0/0
Morgan Barron,Jets,2024-10-09,Away,12:28,0,1,1,1,1,0,1,0,0/0
Kyle Connor,Jets,2024-10-09,Away,17:59,1,0,0,1,3,2,0,0,0/0
Nikolaj Ehlers,Jets,2024-10-09,Away,13:52,0,1,0,0,0,0,0,0,0/0
Alex Iafallo,Jets,2024-10-09,Away,14:03,0,0,1,0,1,0,0,0,0/0
Rasmus Kupari,Jets,2024-10-09,Away,12:16,1,0,1,2,1,0,0,0,6/10
Adam Lowry,Jets,2024-10-09,Away,16:01,1,1,3,3,0,0,0,1,6/15
Vladislav Namestnikov,Jets,2024-10-09,Away,12:15,0,0,0,0,2,0,0,1,3/9
Nino Niederreiter,Jets,2024-10-09,Away,15:52,0,2,3,1,2,0,0,0,1/1
Cole Perfetti,Jets,2024-10-09,Away,13:38,0,0,0,1,1,0,0,0,0/1
Mark Scheifele,Jets,2024-10-09,Away,18:34,1,1,0,4,1,0,0,2,3/12
Gabriel Vilardi,Jets,2024-10-09,Away,17:26,0,1,0,0,1,0,1,1,1/1
Dylan DeMelo,Jets,2024-10-09,Away,19:33,0,0,2,0,5,0,0,2,0/0
Haydn Fleury,Jets,2024-10-09,Away,16:15,0,0,0,1,4,0,0,1,0/0
Colin Miller,Jets,2024-10-09,Away,15:17,0,0,0,0,1,0,0,3,0/0
Josh Morrissey,Jets,2024-10-09,Away,23:39,0,2,2,1,3,0,0,2,0/0
Neal Pionk,Jets,2024-10-09,Away,19:20,0,1,2,1,2,0,0,3,0/0
Dylan Samberg,Jets,2024-10-09,Away,23:21,1,0,2,1,1,0,3,0,0/0
Mason Appleton,Jets,2024-10-11,Home,14:02,0,0,0,5,2,0,0,0,0/0
Morgan Barron,Jets,2024-10-11,Home,10:08,0,0,0,1,0,0,0,0,1/1
Kyle Connor,Jets,2024-10-11,Home,20:18,0,1,1,3,0,0,0,0,0/0
Nikolaj Ehlers,Jets,2024-10-11,Home,16:48,0,1,1,3,0,0,0,4,0/0
Alex Iafallo,Jets,2024-10-11,Home,10:36,0,0,0,1,0,0,1,0,0/0
Rasmus Kupari,Jets,2024-10-11,Home,08:13,0,0,0,1,0,0,0,0,1/1
Adam Lowry,Jets,2024-10-11,Home,16:22,0,0,0,0,0,0,0,0,12/23
Vladislav Namestnikov,Jets,2024-10-11,Home,14:40,0,0,0,1,2,0,0,0,11/17
Nino Niederreiter,Jets,2024-10-11,Home,15:50,0,0,0,3,0,0,1,3,0/0
Cole Perfetti,Jets,2024-10-11,Home,14:34,0,0,0,2,1,0,0,2,0/0
Mark Scheifele,Jets,2024-10-11,Home,21:33,2,0,1,6,1,0,0,1,13/17
Gabriel Vilardi,Jets,2024-10-11,Home,20:29,0,0,0,3,0,0,1,0,0/1
Dylan DeMelo,Jets,2024-10-11,Home,20:31,0,0,0,0,1,2,0,1,0/0
Haydn Fleury,Jets,2024-10-11,Home,13:17,0,0,0,1,2,0,1,0,0/0
Colin Miller,Jets,2024-10-11,Home,14:14,0,0,0,2,0,0,0,0,0/0
