Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Michael Amadio,Senators,2024-10-10,Home,13:58,0,0,1,1,0,0,0,1,1/1
Drake Batherson,Senators,2024-10-10,Home,15:16,0,0,0,1,0,2,0,1,1/1
Nick Cousins,Senators,2024-10-10,Home,12:09,0,0,0,0,1,0,0,0,0/1
Adam Gaudette,Senators,2024-10-10,Home,09:23,0,0,0,0,0,2,0,0,3/5
Claude Giroux,Senators,2024-10-10,Home,17:38,0,0,0,1,1,0,0,1,7/10
Noah Gregor,Senators,2024-10-10,Home,12:51,0,0,0,1,2,0,0,0,0/0
Ridly Greig,Senators,2024-10-10,Home,15:07,0,0,-1,0,2,0,0,0,0/0
Josh Norris,Senators,2024-10-10,Home,18:08,0,1,0,1,1,0,0,1,5/8
David Perron,Senators,2024-10-10,Home,13:03,0,0,0,4,1,0,0,0,0/0
Shane Pinto,Senators,2024-10-10,Home,15:59,1,0,0,3,0,0,1,0,9/20
Tim StÃ¼tzle,Senators,2024-10-10,Home,19:57,2,0,1,3,1,0,0,2,1/5
Brady Tkachuk,Senators,2024-10-10,Home,17:47,0,1,1,5,2,0,0,0,5/6
Thomas Chabot,Senators,2024-10-10,Home,18:15,0,0,0,3,5,0,0,3,0/0
Travis Hamonic,Senators,2024-10-10,Home,16:44,0,0,0,0,3,0,0,1,0/0
Nick Jensen,Senators,2024-10-10,Home,16:49,0,0,2,2,0,0,0,0,0/0
Tyler Kleven,Senators,2024-10-10,Home,16:54,0,0,0,0,4,0,0,0,0/0
Jake Sanderson,Senators,2024-10-10,Home,24:48,0,1,0,3,7,0,1,4,0/0
Artem Zub,Senators,2024-10-10,Home,21:14,0,0,1,3,0,0,0,0,0/0
Michael Amadio,Senators,2024-10-12,Away,14:23,0,0,0,2,0,0,0,1,2/2
Drake Batherson,Senators,2024-10-12,Away,15:51,0,0,0,1,0,0,1,0,1/1
Nick Cousins,Senators,2024-10-12,Away,08:51,0,0,0,0,0,0,0,0,0/0
Claude Giroux,Senators,2024-10-12,Away,16:18,0,0,-1,0,0,0,0,0,5/8
Noah Gregor,Senators,2024-10-12,Away,13:59,0,0,0,3,1,0,0,1,0/1
Ridly Greig,Senators,2024-10-12,Away,12:59,0,0,-1,0,1,0,1,1,1/2
Zack MacEwen,Senators,2024-10-12,Away,05:41,0,0,0,1,1,0,1,1,0/0
Josh Norris,Senators,2024-10-12,Away,20:25,0,0,-1,0,1,0,0,0,9/17
David Perron,Senators,2024-10-12,Away,16:12,0,0,0,1,1,0,0,3,0/0
Shane Pinto,Senators,2024-10-12,Away,19:37,0,0,0,3,0,0,1,0,7/14
Tim StÃ¼tzle,Senators,2024-10-12,Away,19:56,1,0,-1,2,0,0,0,1,0/6
Brady Tkachuk,Senators,2024-10-12,Away,18:38,0,1,-2,1,0,4,0,1,0/4
Thomas Chabot,Senators,2024-10-12,Away,23:36,0,0,-2,4,0,0,0,3,0/0
Travis Hamonic,Senators,2024-10-12,Away,12:09,0,0,0,1,1,0,0,0,0/0
Nick Jensen,Senators,2024-10-12,Away,18:30,0,1,-2,2,1,0,0,2,0/0
Tyler Kleven,Senators,2024-10-12,Away,10:57,0,0,0,2,1,2,1,1,0/0
Jake Sanderson,Senators,2024-10-12,Away,27:36,0,0,0,1,4,0,1,1,0/0
Artem Zub,Senators,2024-10-12,Away,18:02,0,0,0,1,1,2,0,0,0/0
Michael Amadio,Senators,2024-10-14,Home,19:05,0,0,-2,3,0,0,0,2,0/0
Drake Batherson,Senators,2024-10-14,Home,16:42,1,2,-1,4,0,2,1,1,1/1
Nick Cousins,Senators,2024-10-14,Home,09:03,0,0,1,3,0,0,0,1,0/0
Adam Gaudette,Senators,2024-10-14,Home,05:36,0,1,2,0,0,0,0,2,2/2
Claude Giroux,Senators,2024-10-14,Home,17:14,1,0,1,2,1,0,0,0,4/10
Noah Gregor,Senators,2024-10-14,Home,14:46,0,0,-2,0,0,0,0,1,0/0
Zack MacEwen,Senators,2024-10-14,Home,05:14,2,0,2,2,0,9,0,0,0/0
Josh Norris,Senators,2024-10-14,Home,18:21,2,1,-1,3,1,2,0,0,10/19
David Perron,Senators,2024-10-14,Home,13:20,0,0,-1,4,0,0,0,0,0/0
