Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Luke Evangelista,Predators,2024-10-10,Home,12:22,0,1,1,1,0,0,0,2,0/0
Filip Forsberg,Predators,2024-10-10,Home,20:34,1,1,0,4,2,0,0,2,0/0
Mark Jankowski,Predators,2024-10-10,Home,10:28,0,0,-1,0,1,0,0,2,3/4
Jonathan Marchessault,Predators,2024-10-10,Home,22:18,0,2,1,6,0,2,0,2,0/0
Michael McCarron,Predators,2024-10-10,Home,11:38,0,0,-1,2,1,0,0,1,5/7
Tommy Novak,Predators,2024-10-10,Home,13:09,1,0,1,2,0,0,0,3,1/3
Gustav Nyquist,Predators,2024-10-10,Home,16:08,0,0,-1,1,0,0,0,1,1/1
Ryan O'Reilly,Predators,2024-10-10,Home,22:14,1,0,-1,1,1,0,1,0,13/19
Colton Sissons,Predators,2024-10-10,Home,12:41,0,0,0,2,4,0,1,0,11/15
Cole Smith,Predators,2024-10-10,Home,10:59,0,0,-1,0,0,0,1,1,0/0
Steven Stamkos,Predators,2024-10-10,Home,23:01,0,0,0,3,0,2,1,0,4/9
Philip Tomasino,Predators,2024-10-10,Home,12:22,0,0,1,3,0,0,0,2,0/0
Alexandre Carrier,Predators,2024-10-10,Home,18:44,0,0,-1,0,2,2,0,0,0/0
Dante Fabbro,Predators,2024-10-10,Home,12:50,0,0,0,1,1,0,1,3,0/0
Roman Josi,Predators,2024-10-10,Home,29:07,0,1,0,4,2,0,1,2,0/0
Jeremy Lauzon,Predators,2024-10-10,Home,16:27,0,0,0,2,0,0,1,1,0/0
Luke Schenn,Predators,2024-10-10,Home,11:45,0,0,0,0,1,0,2,0,0/0
Brady Skjei,Predators,2024-10-10,Home,19:00,0,0,-2,4,2,0,1,0,0/0
Luke Evangelista,Predators,2024-10-12,Away,12:02,0,0,-1,0,1,0,0,0,0/0
Filip Forsberg,Predators,2024-10-12,Away,20:25,0,0,-2,6,0,0,0,1,0/0
Mark Jankowski,Predators,2024-10-12,Away,12:25,0,0,0,2,2,0,0,2,1/2
Jonathan Marchessault,Predators,2024-10-12,Away,18:43,0,0,-1,3,1,0,0,1,1/1
Michael McCarron,Predators,2024-10-12,Away,11:32,0,0,0,0,2,0,0,1,5/7
Tommy Novak,Predators,2024-10-12,Away,12:43,0,0,-1,2,0,0,0,1,5/11
Gustav Nyquist,Predators,2024-10-12,Away,20:13,0,0,-2,1,0,0,1,1,1/1
Ryan O'Reilly,Predators,2024-10-12,Away,22:33,0,0,-2,4,2,0,1,3,16/24
Colton Sissons,Predators,2024-10-12,Away,15:06,0,0,-1,0,0,0,0,1,5/12
Cole Smith,Predators,2024-10-12,Away,11:18,0,0,0,0,0,0,0,1,0/0
Steven Stamkos,Predators,2024-10-12,Away,19:27,0,0,-1,5,0,2,1,0,3/8
