Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Viktor Arvidsson,Oilers,2024-10-09,Home,15:56,0,0,-1,2,1,0,0,1,0/1
Connor Brown,Oilers,2024-10-09,Home,12:46,0,0,0,3,0,0,1,1,0/0
Leon Draisaitl,Oilers,2024-10-09,Home,17:35,0,0,-2,3,0,2,0,0,9/17
Adam Henrique,Oilers,2024-10-09,Home,13:38,0,0,0,2,0,0,0,0,5/10
Zach Hyman,Oilers,2024-10-09,Home,17:05,0,0,-2,0,0,0,1,0,0/0
Mattias Janmark,Oilers,2024-10-09,Home,12:18,0,0,0,1,0,0,1,1,0/0
Connor McDavid,Oilers,2024-10-09,Home,20:49,0,0,-2,0,0,0,1,1,7/11
Ryan Nugent-Hopkins,Oilers,2024-10-09,Home,18:48,0,0,-2,2,1,0,0,0,5/7
Corey Perry,Oilers,2024-10-09,Home,12:16,0,0,-1,2,0,0,0,0,0/0
Vasily Podkolzin,Oilers,2024-10-09,Home,11:47,0,0,-1,1,0,0,0,0,0/0
Derek Ryan,Oilers,2024-10-09,Home,11:42,0,0,0,2,0,2,0,0,1/1
Jeff Skinner,Oilers,2024-10-09,Home,13:56,0,0,-1,4,0,0,0,0,2/2
Evan Bouchard,Oilers,2024-10-09,Home,25:04,0,0,-1,2,1,0,1,1,0/0
Travis Dermott,Oilers,2024-10-09,Home,16:06,0,0,-1,1,0,0,0,0,0/0
Mattias Ekholm,Oilers,2024-10-09,Home,21:30,0,0,-1,2,1,0,1,1,0/0
Ty Emberson,Oilers,2024-10-09,Home,20:15,0,0,-2,0,0,2,1,1,0/0
Brett Kulak,Oilers,2024-10-09,Home,16:43,0,0,-1,2,2,0,0,0,0/0
Darnell Nurse,Oilers,2024-10-09,Home,18:42,0,0,-2,1,2,0,0,1,0/0
Viktor Arvidsson,Oilers,2024-10-12,Home,16:25,0,0,0,1,2,0,0,1,0/0
Connor Brown,Oilers,2024-10-12,Home,12:06,0,0,-1,3,0,0,1,0,0/0
