Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Aleksander Barkov,Panthers,2024-10-08,Home,20:11,0,1,0,1,2,0,0,0,10/14
Sam Bennett,Panthers,2024-10-08,Home,16:15,2,0,3,4,2,2,0,1,5/10
Jesper Boqvist,Panthers,2024-10-08,Home,11:34,0,1,0,0,0,0,0,0,4/12
Jonah Gadjovich,Panthers,2024-10-08,Home,07:57,1,0,0,1,0,0,0,0,0/0
A.J. Greer,Panthers,2024-10-08,Home,12:58,0,1,1,1,0,7,0,0,0/1
Anton Lundell,Panthers,2024-10-08,Home,16:59,0,1,0,5,1,2,0,0,6/12
Eetu Luostarinen,Panthers,2024-10-08,Home,14:25,1,0,0,4,0,0,1,1,1/2
Sam Reinhart,Panthers,2024-10-08,Home,20:21,1,1,1,4,0,0,0,1,4/9
Evan Rodrigues,Panthers,2024-10-08,Home,15:36,1,1,2,2,1,0,1,0,2/3
Mackie Samoskevich,Panthers,2024-10-08,Home,10:08,0,0,-1,0,0,0,1,0,0/0
Matthew Tkachuk,Panthers,2024-10-08,Home,16:42,0,1,2,3,0,2,0,1,0/0
Carter Verhaeghe,Panthers,2024-10-08,Home,17:19,0,0,-1,4,0,0,0,0,1/1
Uvis Balinskis,Panthers,2024-10-08,Home,15:20,0,1,1,0,0,2,1,0,0/0
Adam Boqvist,Panthers,2024-10-08,Home,04:38,0,0,0,2,0,0,0,0,0/0
Aaron Ekblad,Panthers,2024-10-08,Home,26:36,0,1,1,2,0,0,0,1,0/0
Gustav Forsling,Panthers,2024-10-08,Home,25:41,0,0,3,2,0,0,1,0,0/0
Dmitry Kulikov,Panthers,2024-10-08,Home,19:10,0,0,1,0,1,0,0,0,0/0
Niko Mikkola,Panthers,2024-10-08,Home,20:58,0,0,1,0,1,0,0,3,0/0
Aleksander Barkov,Panthers,2024-10-10,Away,19:09,0,0,-1,1,1,0,0,0,9/16
Sam Bennett,Panthers,2024-10-10,Away,17:56,0,1,0,4,2,0,0,0,6/13
Jesper Boqvist,Panthers,2024-10-10,Away,10:02,0,0,0,0,0,0,0,0,1/5
Jonah Gadjovich,Panthers,2024-10-10,Away,08:13,0,0,0,0,1,0,0,0,0/0
A.J. Greer,Panthers,2024-10-10,Away,09:25,0,0,0,1,0,0,0,1,0/0
Anton Lundell,Panthers,2024-10-10,Away,16:31,0,0,-1,4,0,0,0,0,4/11
Eetu Luostarinen,Panthers,2024-10-10,Away,13:45,0,0,-1,1,1,0,1,0,0/1
Sam Reinhart,Panthers,2024-10-10,Away,20:04,0,0,-1,1,4,0,0,1,2/7
Evan Rodrigues,Panthers,2024-10-10,Away,15:27,0,0,-2,2,1,0,0,2,3/4
Mackie Samoskevich,Panthers,2024-10-10,Away,12:22,0,0,0,3,1,0,0,0,0/0
Matthew Tkachuk,Panthers,2024-10-10,Away,17:27,0,1,0,4,0,0,0,0,0/0
Carter Verhaeghe,Panthers,2024-10-10,Away,20:15,0,0,1,4,0,0,0,2,0/0
Uvis Balinskis,Panthers,2024-10-10,Away,18:20,0,0,-1,1,0,0,0,0,0/0
Aaron Ekblad,Panthers,2024-10-10,Away,22:09,0,0,1,1,0,2,0,2,0/0
Gustav Forsling,Panthers,2024-10-10,Away,23:06,1,0,1,2,1,0,0,3,0/0
Dmitry Kulikov,Panthers,2024-10-10,Away,18:47,0,0,-1,2,0,0,1,0,0/0
