Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Zach Aston-Reese,Blue,2024-10-10,Away,07:33,0,0,0,1,0,0,0,0,0/1
Yegor Chinakhov,Blue,2024-10-10,Away,20:48,0,1,0,3,0,0,0,1,0/0
Adam Fantilli,Blue,2024-10-10,Away,15:49,0,0,-1,2,0,0,0,0,4/10
Kent Johnson,Blue,2024-10-10,Away,18:05,1,1,0,4,0,2,0,1,0/0
Sean Kuraly,Blue,2024-10-10,Away,11:57,0,0,0,0,0,0,0,1,4/8
Kevin Labanc,Blue,2024-10-10,Away,12:27,0,0,-1,0,0,0,0,1,0/0
Kirill Marchenko,Blue,2024-10-10,Away,16:55,0,0,0,2,1,0,0,0,0/0
Sean Monahan,Blue,2024-10-10,Away,19:35,0,0,-1,4,0,2,0,4,13/24
Mathieu Olivier,Blue,2024-10-10,Away,12:08,0,0,0,1,1,0,0,1,0/1
Mikael Pyyhtia,Blue,2024-10-10,Away,15:50,0,0,1,0,1,0,0,1,0/0
Cole Sillinger,Blue,2024-10-10,Away,16:27,0,1,0,0,0,2,0,0,6/15
James van Riemsdyk,Blue,2024-10-10,Away,11:42,0,0,-1,0,1,0,0,0,0/0
Jake Christiansen,Blue,2024-10-10,Away,15:43,0,0,1,4,0,0,0,0,0/0
Erik Gudbranson,Blue,2024-10-10,Away,17:00,0,0,-1,0,1,0,0,1,0/0
Jack Johnson,Blue,2024-10-10,Away,16:01,0,0,-1,2,1,0,0,0,0/0
Ivan Provorov,Blue,2024-10-10,Away,19:29,0,0,-1,0,1,0,0,1,0/0
Damon Severson,Blue,2024-10-10,Away,21:07,0,1,1,3,2,0,1,2,0/0
Zach Werenski,Blue,2024-10-10,Away,26:56,1,0,-1,7,1,0,0,1,0/0
Zach Aston-Reese,Blue,2024-10-12,Away,00:34,0,0,0,0,0,0,0,0,0/0
Yegor Chinakhov,Blue,2024-10-12,Away,17:57,1,2,2,4,1,0,0,0,0/0
Adam Fantilli,Blue,2024-10-12,Away,16:53,1,0,0,2,3,0,0,2,5/14
Kent Johnson,Blue,2024-10-12,Away,21:30,1,0,1,2,0,0,0,2,0/2
Sean Kuraly,Blue,2024-10-12,Away,09:17,0,0,0,0,0,0,0,0,4/6
Kevin Labanc,Blue,2024-10-12,Away,10:54,0,1,0,1,2,0,1,0,0/0
Kirill Marchenko,Blue,2024-10-12,Away,18:11,1,2,2,2,0,0,2,1,0/0
Sean Monahan,Blue,2024-10-12,Away,20:20,1,2,2,2,0,0,0,0,11/21
Mathieu Olivier,Blue,2024-10-12,Away,09:16,0,0,0,0,4,2,0,0,0/0
Mikael Pyyhtia,Blue,2024-10-12,Away,19:08,0,0,1,0,2,0,0,0,0/0
Cole Sillinger,Blue,2024-10-12,Away,20:05,0,0,1,5,0,2,2,1,8/21
James van Riemsdyk,Blue,2024-10-12,Away,12:00,0,0,0,0,0,0,0,2,0/0
Jake Christiansen,Blue,2024-10-12,Away,17:17,0,1,2,0,1,0,0,1,0/0
Erik Gudbranson,Blue,2024-10-12,Away,16:54,0,0,0,0,2,2,0,2,0/0
Jack Johnson,Blue,2024-10-12,Away,13:25,0,0,1,0,0,0,0,0,0/0
Ivan Provorov,Blue,2024-10-12,Away,25:55,0,0,1,1,2,0,2,1,0/0
Damon Severson,Blue,2024-10-12,Away,21:45,0,1,1,1,2,4,1,1,0/0
Zach Werenski,Blue,2024-10-12,Away,23:12,1,0,1,3,0,0,0,0,0/0
Zach Aston-Reese,Blue,2024-10-15,Home,11:20,0,0,1,3,2,0,2,1,0/1
Yegor Chinakhov,Blue,2024-10-15,Home,16:24,0,1,2,4,1,0,0,0,0/0
Adam Fantilli,Blue,2024-10-15,Home,18:11,0,0,-1,4,3,0,0,2,3/9
Kent Johnson,Blue,2024-10-15,Home,21:03,0,1,-3,2,0,0,0,0,0/1
Sean Kuraly,Blue,2024-10-15,Home,09:19,0,0,0,1,2,0,0,1,4/5
Kevin Labanc,Blue,2024-10-15,Home,12:54,0,1,1,2,0,2,0,2,0/0
Kirill Marchenko,Blue,2024-10-15,Home,18:21,0,1,1,1,1,0,0,0,1/2
Sean Monahan,Blue,2024-10-15,Home,18:39,1,0,1,5,0,0,0,0,20/26
Mathieu Olivier,Blue,2024-10-15,Home,10:29,0,0,0,0,1,2,1,0,0/0
Mikael Pyyhtia,Blue,2024-10-15,Home,13:50,0,0,-3,0,2,0,0,0,0/0
Cole Sillinger,Blue,2024-10-15,Home,20:38,1,0,-3,1,1,0,0,0,7/17
James van Riemsdyk,Blue,2024-10-15,Home,13:14,1,0,1,3,0,0,1,0,0/0
Jake Christiansen,Blue,2024-10-15,Home,14:56,0,0,-2,1,0,0,0,1,0/0
Erik Gudbranson,Blue,2024-10-15,Home,13:25,0,0,1,1,0,0,0,0,0/0
Jordan Harris,Blue,2024-10-15,Home,12:44,0,0,0,1,1,2,0,0,0/0
Ivan Provorov,Blue,2024-10-15,Home,24:40,0,0,2,1,1,0,1,1,0/0
Damon Severson,Blue,2024-10-15,Home,19:30,0,1,-2,1,0,0,0,1,0/0
Zach Werenski,Blue,2024-10-15,Home,28:36,0,0,-1,7,0,0,2,1,0/0
Zachary Aston-Reese,Blue,2024-10-17,Home,10:55,1,0,1,2,1,0,0,0,0/0
Yegor Chinakhov,Blue,2024-10-17,Home,19:48,1,0,1,2,1,0,0,0,0/0
Justin Danforth,Blue,2024-10-17,Home,16:38,0,0,-1,2,1,0,0,0,1/1
Adam Fantilli,Blue,2024-10-17,Home,17:49,1,0,1,4,0,0,0,0,8/13
Kent Johnson,Blue,2024-10-17,Home,06:26,0,1,0,0,0,0,0,1,0/0
Sean Kuraly,Blue,2024-10-17,Home,10:42,0,0,1,0,0,0,0,0,3/5
Kirill Marchenko,Blue,2024-10-17,Home,19:58,1,1,0,3,0,0,1,2,0/0
Sean Monahan,Blue,2024-10-17,Home,22:29,0,0,-1,1,0,0,0,2,10/23
Mathieu Olivier,Blue,2024-10-17,Home,14:34,1,1,2,1,0,2,1,2,0/0
Mikael Pyyhtia,Blue,2024-10-17,Home,13:24,0,0,1,0,2,0,0,0,0/0
Cole Sillinger,Blue,2024-10-17,Home,16:05,0,1,0,1,2,0,0,1,5/13
James van Riemsdyk,Blue,2024-10-17,Home,09:15,0,0,-2,0,0,0,0,0,0/0
Jake Christiansen,Blue,2024-10-17,Home,15:26,0,2,2,1,1,0,0,0,0/0
Jordan Harris,Blue,2024-10-17,Home,16:29,0,0,-1,0,3,0,1,2,0/0
Jack Johnson,Blue,2024-10-17,Home,16:59,0,0,0,0,1,0,0,0,0/0
Ivan Provorov,Blue,2024-10-17,Home,23:30,0,1,-2,4,2,2,1,1,0/0
Damon Severson,Blue,2024-10-17,Home,21:39,1,0,4,1,2,0,1,1,0/0
Zach Werenski,Blue,2024-10-17,Home,24:03,0,2,-1,3,2,0,2,2,0/0
Zachary Aston-Reese,Blue,2024-10-19,Home,13:58,0,0,-1,1,1,0,0,0,0/0
Yegor Chinakhov,Blue,2024-10-19,Home,21:11,1,0,0,4,1,0,1,1,0/0
Justin Danforth,Blue,2024-10-19,Home,16:13,0,0,0,1,0,0,0,1,0/0
Adam Fantilli,Blue,2024-10-19,Home,22:04,0,0,0,0,1,0,1,1,8/13
Sean Kuraly,Blue,2024-10-19,Home,07:37,0,0,0,0,0,0,0,1,3/5
Kirill Marchenko,Blue,2024-10-19,Home,21:53,0,0,0,1,0,0,0,1,1/1
Sean Monahan,Blue,2024-10-19,Home,21:32,0,1,-1,4,0,0,0,2,8/19
Mathieu Olivier,Blue,2024-10-19,Home,14:37,0,0,-1,0,2,2,0,1,0/0
Mikael Pyyhtia,Blue,2024-10-19,Home,15:43,0,0,0,0,2,0,2,2,0/0
Cole Sillinger,Blue,2024-10-19,Home,17:43,0,0,0,4,1,2,0,0,5/7
James van Riemsdyk,Blue,2024-10-19,Home,09:09,0,0,0,0,0,0,0,3,1/2
Jake Christiansen,Blue,2024-10-19,Home,10:59,0,0,-1,2,1,0,0,0,0/0
Jordan Harris,Blue,2024-10-19,Home,10:15,0,0,0,1,0,2,0,1,0/0
David Jiricek,Blue,2024-10-19,Home,11:23,0,1,1,0,0,0,0,1,0/0
Jack Johnson,Blue,2024-10-19,Home,15:04,0,0,1,0,0,0,3,0,0/0
Ivan Provorov,Blue,2024-10-19,Home,21:35,0,0,-1,1,0,0,0,0,0/0
Damon Severson,Blue,2024-10-19,Home,19:50,0,0,-1,3,3,0,0,0,0/0
Zach Werenski,Blue,2024-10-19,Home,26:12,0,0,-1,2,1,0,3,3,0/0
Zachary Aston-Reese,Blue,2024-10-22,Home,11:07,0,1,1,1,1,0,0,1,0/0
Yegor Chinakhov,Blue,2024-10-22,Home,16:27,0,0,0,3,1,0,0,0,0/0
Justin Danforth,Blue,2024-10-22,Home,15:23,1,2,1,2,0,0,0,1,9/13
Adam Fantilli,Blue,2024-10-22,Home,16:06,0,0,0,3,1,0,0,0,6/14
Sean Kuraly,Blue,2024-10-22,Home,11:29,0,0,0,1,1,0,0,1,3/10
Kevin Labanc,Blue,2024-10-22,Home,09:50,0,1,1,1,0,0,0,0,0/0
Kirill Marchenko,Blue,2024-10-22,Home,18:43,1,1,3,7,0,2,1,3,0/0
Sean Monahan,Blue,2024-10-22,Home,19:35,1,1,3,5,3,0,0,1,12/23
Mathieu Olivier,Blue,2024-10-22,Home,12:17,2,0,0,2,0,2,1,1,1/2
Mikael Pyyhtia,Blue,2024-10-22,Home,14:31,0,0,0,0,0,0,0,0,0/0
Cole Sillinger,Blue,2024-10-22,Home,19:43,0,1,2,3,0,0,1,1,7/8
James van Riemsdyk,Blue,2024-10-22,Home,12:46,1,0,1,2,1,0,1,1,0/0
Jake Christiansen,Blue,2024-10-22,Home,18:01,0,1,1,1,1,0,0,2,0/0
David Jiricek,Blue,2024-10-22,Home,12:24,0,0,0,0,1,2,0,0,0/0
Jack Johnson,Blue,2024-10-22,Home,16:06,0,0,-1,0,2,2,0,1,0/0
Ivan Provorov,Blue,2024-10-22,Home,22:31,0,1,3,2,3,0,1,4,0/0
Damon Severson,Blue,2024-10-22,Home,24:35,0,0,1,4,0,2,0,1,0/0
Zach Werenski,Blue,2024-10-22,Home,22:15,0,2,4,1,1,0,0,1,0/0
Zachary Aston-Reese,Blue,2024-10-26,Away,15:32,1,0,0,3,0,0,0,1,0/0
Yegor Chinakhov,Blue,2024-10-26,Away,17:16,0,0,-1,1,0,0,0,1,0/0
Justin Danforth,Blue,2024-10-26,Away,16:08,0,0,0,0,0,0,0,0,5/8
Adam Fantilli,Blue,2024-10-26,Away,16:32,0,1,-1,6,2,0,1,0,6/18
Sean Kuraly,Blue,2024-10-26,Away,11:39,0,1,1,0,1,0,0,1,3/5
Kevin Labanc,Blue,2024-10-26,Away,11:10,0,1,1,1,1,0,0,0,0/0
Kirill Marchenko,Blue,2024-10-26,Away,19:30,1,0,-1,3,0,4,0,1,0/0
Sean Monahan,Blue,2024-10-26,Away,18:01,0,0,-1,3,0,0,0,1,12/21
Mathieu Olivier,Blue,2024-10-26,Away,13:47,0,1,1,0,1,0,1,1,0/1
Mikael Pyyhtia,Blue,2024-10-26,Away,13:12,0,0,-1,3,1,0,0,0,0/1
Cole Sillinger,Blue,2024-10-26,Away,18:13,0,0,0,2,0,0,0,2,2/3
James van Riemsdyk,Blue,2024-10-26,Away,08:47,0,0,1,0,0,0,0,0,0/0
Jake Christiansen,Blue,2024-10-26,Away,19:36,0,0,-1,2,1,0,0,2,0/0
Jordan Harris,Blue,2024-10-26,Away,13:16,0,0,1,0,3,0,1,0,0/0
Jack Johnson,Blue,2024-10-26,Away,14:03,0,1,1,0,0,0,0,1,0/0
Ivan Provorov,Blue,2024-10-26,Away,24:38,0,0,0,0,2,0,0,2,0/0
