Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Ross Colton,Avalanche,2024-10-09,Away,15:18,0,0,0,2,0,0,0,0,3/10
Jonathan Drouin,Avalanche,2024-10-09,Away,21:25,0,0,-1,0,0,0,1,1,0/0
Ivan Ivan,Avalanche,2024-10-09,Away,09:44,0,0,0,0,0,0,0,1,0/0
Parker Kelly,Avalanche,2024-10-09,Away,11:34,0,0,0,3,0,0,0,0,5/11
Joel Kiviranta,Avalanche,2024-10-09,Away,08:40,0,0,0,0,0,0,0,0,0/1
Nikolai Kovalenko,Avalanche,2024-10-09,Away,14:57,0,0,-1,2,0,0,0,0,0/0
Nathan MacKinnon,Avalanche,2024-10-09,Away,21:33,0,2,-2,4,1,0,1,1,7/15
Casey Mittelstadt,Avalanche,2024-10-09,Away,19:47,1,0,-1,3,0,0,0,1,4/6
Logan O'Connor,Avalanche,2024-10-09,Away,16:33,0,0,-1,0,0,0,0,1,0/1
Mikko Rantanen,Avalanche,2024-10-09,Away,20:44,3,0,-1,6,0,0,1,1,2/5
Calum Ritchie,Avalanche,2024-10-09,Away,16:05,0,0,-3,1,1,0,0,0,0/1
Miles Wood,Avalanche,2024-10-09,Away,12:01,0,0,-1,3,2,2,0,0,0/0
Samuel Girard,Avalanche,2024-10-09,Away,20:44,0,2,0,1,1,0,0,1,0/0
Cale Makar,Avalanche,2024-10-09,Away,26:15,0,2,-1,1,1,0,2,4,0/0
Sam Malinski,Avalanche,2024-10-09,Away,13:43,0,0,-1,1,2,0,1,1,0/0
Josh Manson,Avalanche,2024-10-09,Away,18:20,0,1,-1,3,0,0,1,2,0/0
Devon Toews,Avalanche,2024-10-09,Away,20:42,0,1,-1,1,0,4,0,0,0/0
Calvin de Haan,Avalanche,2024-10-09,Away,12:54,0,0,-1,1,2,0,1,2,0/0
Ross Colton,Avalanche,2024-10-12,Home,18:48,1,1,-1,3,1,0,0,1,1/2
Ivan Ivan,Avalanche,2024-10-12,Home,09:41,0,1,-1,1,0,0,0,0,1/4
Parker Kelly,Avalanche,2024-10-12,Home,12:12,0,1,-1,1,0,0,1,1,9/13
Joel Kiviranta,Avalanche,2024-10-12,Home,09:09,0,0,-1,0,0,0,0,0,0/0
Nikolai Kovalenko,Avalanche,2024-10-12,Home,13:50,0,0,0,1,0,0,1,1,0/0
Nathan MacKinnon,Avalanche,2024-10-12,Home,23:23,1,1,1,3,0,10,2,0,10/16
Casey Mittelstadt,Avalanche,2024-10-12,Home,22:35,1,0,-1,2,4,2,0,2,7/16
Logan O'Connor,Avalanche,2024-10-12,Home,16:04,0,0,-1,1,1,0,0,0,0/0
Mikko Rantanen,Avalanche,2024-10-12,Home,24:04,0,1,1,3,1,2,2,0,3/5
Calum Ritchie,Avalanche,2024-10-12,Home,15:10,0,0,-1,4,2,0,1,1,2/3
Chris Wagner,Avalanche,2024-10-12,Home,06:26,0,0,-1,1,0,2,0,0,3/4
Miles Wood,Avalanche,2024-10-12,Home,12:24,1,0,-1,3,1,0,0,1,0/1
Samuel Girard,Avalanche,2024-10-12,Home,19:22,0,0,-2,0,0,0,3,0,0/0
Cale Makar,Avalanche,2024-10-12,Home,23:33,0,2,0,1,0,0,0,1,0/0
Sam Malinski,Avalanche,2024-10-12,Home,16:45,0,0,-1,1,0,0,0,2,0/0
Josh Manson,Avalanche,2024-10-12,Home,16:46,0,0,-2,1,0,2,0,1,0/0
Devon Toews,Avalanche,2024-10-12,Home,21:57,0,0,-1,2,3,0,0,0,0/0
Calvin de Haan,Avalanche,2024-10-12,Home,15:35,0,1,-1,2,4,0,0,0,0/0
