Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Cameron Atkinson,Lightning,2024-10-11,Away,08:42,0,0,-1,1,0,0,0,1,1/1
Mitchell Chaffee,Lightning,2024-10-11,Away,12:13,0,0,0,1,1,2,0,0,0/0
Anthony Cirelli,Lightning,2024-10-11,Away,19:10,0,0,0,2,1,0,0,0,6/13
Conor Geekie,Lightning,2024-10-11,Away,10:07,0,0,0,0,0,0,0,0,2/8
Zemgus Girgensons,Lightning,2024-10-11,Away,13:08,0,0,0,0,0,0,0,1,0/0
Luke Glendening,Lightning,2024-10-11,Away,11:50,0,0,0,1,1,0,0,0,4/11
Jake Guentzel,Lightning,2024-10-11,Away,17:56,0,2,2,2,1,0,0,0,2/3
Brandon Hagel,Lightning,2024-10-11,Away,20:28,0,0,-1,3,1,2,0,1,0/0
Nikita Kucherov,Lightning,2024-10-11,Away,21:55,3,1,2,6,1,0,0,1,0/0
Nicholas Paul,Lightning,2024-10-11,Away,17:34,0,1,0,0,0,0,0,1,8/14
Brayden Point,Lightning,2024-10-11,Away,20:19,1,0,1,1,2,0,0,1,8/16
Erik Cernak,Lightning,2024-10-11,Away,22:00,0,1,1,2,2,0,0,1,0/0
Victor Hedman,Lightning,2024-10-11,Away,23:11,0,3,1,2,1,0,1,4,0/0
Emil Lilleberg,Lightning,2024-10-11,Away,10:48,0,0,-1,0,1,2,0,0,0/0
Ryan McDonagh,Lightning,2024-10-11,Away,20:40,0,0,1,2,1,2,1,4,0/0
Janis Moser,Lightning,2024-10-11,Away,18:54,0,0,1,0,4,0,1,3,0/0
Nick Perbix,Lightning,2024-10-11,Away,12:09,0,0,0,0,3,0,0,0,0/0
Darren Raddysh,Lightning,2024-10-11,Away,10:56,0,0,-1,0,1,0,0,0,0/0
Mitchell Chaffee,Lightning,2024-10-15,Home,08:47,0,0,0,0,1,0,0,0,0/0
Anthony Cirelli,Lightning,2024-10-15,Home,16:20,1,1,2,3,2,0,0,0,6/11
Michael Eyssimont,Lightning,2024-10-15,Home,10:22,0,0,0,2,0,0,0,1,0/1
Conor Geekie,Lightning,2024-10-15,Home,12:59,0,0,0,1,0,0,0,0,2/6
Zemgus Girgensons,Lightning,2024-10-15,Home,10:46,0,0,0,1,0,0,0,0,0/0
Luke Glendening,Lightning,2024-10-15,Home,13:00,0,0,0,0,2,0,0,0,6/9
Jake Guentzel,Lightning,2024-10-15,Home,19:01,0,1,2,1,3,0,0,2,4/7
Brandon Hagel,Lightning,2024-10-15,Home,16:50,1,1,2,2,2,0,0,1,0/0
Nikita Kucherov,Lightning,2024-10-15,Home,22:28,1,0,2,5,0,0,1,0,0/0
Nicholas Paul,Lightning,2024-10-15,Home,15:31,0,2,2,3,0,0,0,1,1/6
Brayden Point,Lightning,2024-10-15,Home,19:13,1,1,2,4,0,0,0,0,4/11
Conor Sheary,Lightning,2024-10-15,Home,10:18,0,0,0,0,1,4,0,0,0/0
Erik Cernak,Lightning,2024-10-15,Home,17:08,0,0,2,1,2,2,0,0,0/0
Victor Hedman,Lightning,2024-10-15,Home,22:16,0,0,2,2,3,2,0,2,0/0
Ryan McDonagh,Lightning,2024-10-15,Home,18:14,0,1,2,0,2,0,0,2,0/0
Janis Moser,Lightning,2024-10-15,Home,23:33,0,0,0,1,1,0,1,0,0/0
Nick Perbix,Lightning,2024-10-15,Home,14:27,0,0,0,1,1,0,1,2,0/0
Darren Raddysh,Lightning,2024-10-15,Home,20:48,0,1,2,1,0,0,0,1,0/0
Cameron Atkinson,Lightning,2024-10-17,Home,09:11,0,1,1,1,0,0,0,0,0/0
Mitchell Chaffee,Lightning,2024-10-17,Home,09:08,0,1,1,0,0,0,0,0,0/0
Anthony Cirelli,Lightning,2024-10-17,Home,15:12,0,0,-2,1,2,0,0,0,8/11
Michael Eyssimont,Lightning,2024-10-17,Home,10:49,0,0,1,0,0,2,0,2,0/1
Conor Geekie,Lightning,2024-10-17,Home,11:31,0,0,1,0,0,4,0,0,1/5
Zemgus Girgensons,Lightning,2024-10-17,Home,11:00,0,0,0,1,1,0,0,0,0/1
Luke Glendening,Lightning,2024-10-17,Home,11:51,0,0,0,0,1,0,1,1,3/9
Jake Guentzel,Lightning,2024-10-17,Home,20:43,0,1,1,3,1,0,0,1,2/2
Brandon Hagel,Lightning,2024-10-17,Home,16:15,1,0,0,1,0,0,0,1,0/0
Nikita Kucherov,Lightning,2024-10-17,Home,23:06,2,0,2,6,0,0,0,1,0/0
Nicholas Paul,Lightning,2024-10-17,Home,14:52,0,0,-1,2,1,0,0,0,1/3
Brayden Point,Lightning,2024-10-17,Home,21:00,0,0,2,3,1,0,1,0,5/14
Erik Cernak,Lightning,2024-10-17,Home,21:04,0,0,-1,0,1,0,0,0,0/0
Victor Hedman,Lightning,2024-10-17,Home,24:35,0,1,0,3,0,0,0,2,0/0
Emil Lilleberg,Lightning,2024-10-17,Home,12:49,0,1,1,1,1,0,0,0,0/0
Ryan McDonagh,Lightning,2024-10-17,Home,22:53,0,0,1,0,4,0,0,2,0/0
Janis Moser,Lightning,2024-10-17,Home,20:27,1,2,3,3,1,0,0,2,0/0
Darren Raddysh,Lightning,2024-10-17,Home,18:20,0,0,0,0,0,0,0,1,0/0
Mitchell Chaffee,Lightning,2024-10-19,Away,09:34,1,0,1,1,1,0,0,0,0/0
Anthony Cirelli,Lightning,2024-10-19,Away,16:56,0,2,2,1,0,6,0,0,5/11
Michael Eyssimont,Lightning,2024-10-19,Away,09:42,0,0,-1,2,0,0,0,0,0/0
Conor Geekie,Lightning,2024-10-19,Away,13:57,0,0,-1,1,1,0,0,0,3/7
Zemgus Girgensons,Lightning,2024-10-19,Away,10:05,0,0,0,2,1,0,0,0,2/2
Luke Glendening,Lightning,2024-10-19,Away,10:52,0,0,0,0,1,0,0,2,13/22
Jake Guentzel,Lightning,2024-10-19,Away,20:02,1,0,0,2,1,0,0,1,3/8
Brandon Hagel,Lightning,2024-10-19,Away,19:03,0,1,2,2,0,0,0,3,0/0
Nikita Kucherov,Lightning,2024-10-19,Away,19:44,1,1,0,6,2,0,0,0,0/0
Nicholas Paul,Lightning,2024-10-19,Away,16:26,1,0,1,3,1,4,0,0,6/9
Brayden Point,Lightning,2024-10-19,Away,20:56,0,1,0,1,0,0,0,3,4/8
Conor Sheary,Lightning,2024-10-19,Away,11:09,0,0,-1,0,0,0,0,0,0/0
Erik Cernak,Lightning,2024-10-19,Away,19:49,0,1,1,0,4,0,0,2,0/0
Victor Hedman,Lightning,2024-10-19,Away,25:16,0,0,0,5,3,0,2,0,0/0
Ryan McDonagh,Lightning,2024-10-19,Away,21:52,0,1,1,0,3,0,0,1,0/0
Janis Moser,Lightning,2024-10-19,Away,21:10,0,0,2,0,2,2,0,1,0/0
Nick Perbix,Lightning,2024-10-19,Away,11:36,0,1,0,0,0,2,0,2,0/0
Darren Raddysh,Lightning,2024-10-19,Away,16:21,0,0,-2,3,0,0,0,2,0/0
Cameron Atkinson,Lightning,2024-10-21,Away,09:29,0,0,-3,1,1,0,0,0,0/0
Mitchell Chaffee,Lightning,2024-10-21,Away,13:30,0,1,0,1,0,2,0,1,0/0
Anthony Cirelli,Lightning,2024-10-21,Away,16:50,0,0,0,2,2,0,0,0,7/11
Michael Eyssimont,Lightning,2024-10-21,Away,11:11,0,0,0,5,0,0,0,0,0/0
Conor Geekie,Lightning,2024-10-21,Away,13:34,0,0,-3,0,1,0,0,0,2/4
Zemgus Girgensons,Lightning,2024-10-21,Away,08:32,0,0,0,2,0,5,0,0,0/0
Luke Glendening,Lightning,2024-10-21,Away,09:26,0,0,0,0,0,0,0,0,4/6
Jake Guentzel,Lightning,2024-10-21,Away,20:19,0,0,-1,3,2,2,0,2,1/1
Brandon Hagel,Lightning,2024-10-21,Away,21:39,0,0,0,5,0,0,1,1,1/1
Nikita Kucherov,Lightning,2024-10-21,Away,21:39,0,1,0,4,1,0,0,1,0/0
Nicholas Paul,Lightning,2024-10-21,Away,15:24,1,0,-1,2,0,0,0,1,3/9
Brayden Point,Lightning,2024-10-21,Away,21:55,1,0,-1,1,0,0,0,0,11/14
Erik Cernak,Lightning,2024-10-21,Away,18:26,0,0,-1,0,2,0,0,0,0/0
Victor Hedman,Lightning,2024-10-21,Away,24:19,0,2,1,3,2,0,0,0,0/0
Emil Lilleberg,Lightning,2024-10-21,Away,13:18,0,0,-3,0,2,2,0,0,0/0
Ryan McDonagh,Lightning,2024-10-21,Away,18:09,0,0,0,2,1,0,2,3,0/0
Janis Moser,Lightning,2024-10-21,Away,21:52,0,0,0,2,1,0,1,1,0/0
Darren Raddysh,Lightning,2024-10-21,Away,15:45,0,0,-3,1,0,2,0,0,0/0
Mitchell Chaffee,Lightning,2024-10-22,Away,12:32,0,0,0,1,0,0,0,0,0/0
Anthony Cirelli,Lightning,2024-10-22,Away,13:07,0,4,2,2,2,0,0,0,12/19
